date,ID,"MARKET PRICE (TARGET) (average, detached Single Family Homes)",sales volume,year,month,National pop.,Provincial pop.,Municipal pop.,"National GDP (real, seasonally adjusted)",GDP per cap. (real),Most Recent Quarterly GDP % change (extended),GDP Construction (real),"GDP Construction (real, monthly)","GDP Finance, Insurance, Real Estate, Renting/Leasing (real, monthly)","GDP Finance, Insurance, Real Estate, Renting/Leasing (real)","Total Labour Force Size (people 15 or over, employed or actively seeking work)",Labour Force Participation Rate,Total Employment Rate,Labour Productivity,Labour Compensation,Median Income per Household in Toronto,"CPI - National, All Products","CPI - National, Core",National Debt (Billions),Provincial Debt,3 Month T-bill,2y bond,5y bond,10y bond,Yield curve slope,Variable mortgage rate,5-year fixed mortgage rate ,5-year fixed mortgage qualifying rate,Ontario Net International Migration (monthly),Ontario Net Interprovincial Migration (monthly),Ontario Net Non-Permanent Residents,"Housing Starts (SFH, monthly)","Under Construction (SFH, monthly)","Completions  (SFH, monthly)"
1967-01-01,1,24078,1036,1967,1,20228000,7063000,2252000,130807.5,6466.655132,0.225801607,29.155,2.429583333,15.672,1.306,7650000,58.8,58.6,421.999,102189.23,63503.73913,17.7,19.5,17.5348,1.1771,4.68,4.92,5.2,5.6,0.68,5.822,7.13,7.13,5335.333333,1123.333333,838,565.75,3738,554.9166667
1967-02-01,2,24078,1036,1967,2,20228000,7063000,2252000,130807.5,6466.655132,0.225801607,29.155,2.429583333,15.672,1.306,7668000,58.75493506,58.6,421.999,102189.23,63503.73913,17.7,19.5,17.6215,1.1965,4.58,5.05,5.16,5.64,0.59,5.822,7.09,7.09,5335.333333,1123.333333,838,565.75,3738,554.9166667
1967-03-01,3,24078,1036,1967,3,20228000,7063000,2252000,130807.5,6466.655132,0.225801607,29.155,2.429583333,15.672,1.306,7745000,58.77974026,58.9,421.999,102189.23,63503.73913,17.8,19.7,17.708,1.216,4.13,4.35,4.76,5.48,1.13,5.822,7.03,7.03,5335.333333,1123.333333,838,565.75,3738,554.9166667
1967-04-01,4,24078,1036,1967,4,20306000,7096000,2252000,133231.8,6561.203585,1.853334098,29.155,2.429583333,15.672,1.306,7680000,58.80454545,59,421.999,102189.23,63503.73913,17.9,19.9,17.795,1.235,4,4.47,4.81,5.56,1.09,5.572,7,7,8815,1244.666667,1584,565.75,3738,554.9166667
1967-05-01,5,24078,1036,1967,5,20306000,7096000,2252000,133231.8,6561.203585,1.853334098,29.155,2.429583333,15.672,1.306,7733000,58.82935065,60.6,421.999,102189.23,63503.73913,18,19.9,17.882,1.255,4.24,4.92,5.4,5.72,0.8,5.572,6.97,6.97,8815,1244.666667,1584,565.75,3738,554.9166667
1967-06-01,6,24078,1036,1967,6,20306000,7096000,2252000,133231.8,6561.203585,1.853334098,29.155,2.429583333,15.672,1.306,7696000,58.85415584,61.8,421.999,102189.23,63503.73913,18.1,20,17.968,1.274,4.28,5.34,5.68,5.87,0.53,5.572,7.08,7.08,8815,1244.666667,1584,565.75,3738,554.9166667
1967-07-01,7,24078,1036,1967,7,20412000,7142000,2252000,133651.8,6547.707231,0.315240055,29.155,2.429583333,15.672,1.306,7777000,58.87896104,63,421.999,102189.23,63503.73913,18.2,20.1,18.055,1.294,4.32,5.4,5.89,5.88,0.48,5.572,7.22,7.22,7520,1885.333333,2347,565.75,3738,554.9166667
1967-08-01,8,24078,1036,1967,8,20412000,7142000,2252000,133651.8,6547.707231,0.315240055,29.155,2.429583333,15.672,1.306,7799000,58.90376623,63.3,421.999,102189.23,63503.73913,18.3,20.1,18.142,1.314,4.34,5.49,5.98,5.99,0.5,5.572,7.25,7.25,7520,1885.333333,2347,565.75,3738,554.9166667
1967-09-01,9,24078,1036,1967,9,20412000,7142000,2252000,133651.8,6547.707231,0.315240055,29.155,2.429583333,15.672,1.306,7778000,58.92857143,61.4,421.999,102189.23,63503.73913,18.3,20.1,18.229,1.333,4.76,5.8,6.1,6.19,0.39,5.572,7.3,7.3,7520,1885.333333,2347,565.75,3738,554.9166667
1967-10-01,10,24078,1036,1967,10,20509000,7186000,2252000,134234,6545.12653,0.435609547,29.155,2.429583333,15.672,1.306,7761000,58.95337662,61.5,421.999,102189.23,63503.73913,18.3,20.2,18.316,1.353,4.95,5.79,6.05,6.36,0.57,5.822,7.69,7.69,5173.333333,-108,-3300,565.75,3738,554.9166667
1967-11-01,11,24078,1036,1967,11,20509000,7186000,2252000,134234,6545.12653,0.435609547,29.155,2.429583333,15.672,1.306,7817000,58.97818182,61,421.999,102189.23,63503.73913,18.3,20.3,18.403,1.372,5.46,5.8,6.17,6.41,0.61,5.822,7.72,7.72,5173.333333,-108,-3300,565.75,3738,554.9166667
1967-12-01,12,24078,1036,1967,12,20509000,7186000,2252000,134234,6545.12653,0.435609547,29.155,2.429583333,15.672,1.306,7859000,59.00298701,60.3,421.999,102189.23,63503.73913,18.4,20.3,18.49,1.392,5.95,6.16,6.48,6.54,0.38,6.322,7.72,7.72,5173.333333,-108,-3300,565.75,3738,554.9166667
1968-01-01,13,26732,1020.416667,1968,1,20581000,7213000,2343000,135378.3,6577.829066,0.852466588,30.938,2.578166667,16.834,1.402833333,7810000,59.02779221,58.8,442.849,109090.946,67936.43478,18.5,20.4,18.576,1.411,6.29,6.35,6.53,6.54,0.19,6.322,8.03,8.03,3390.333333,901.3333333,838,462.9166667,3407,484
1968-02-01,14,26732,1020.416667,1968,2,20581000,7213000,2343000,135378.3,6577.829066,0.852466588,30.938,2.578166667,16.834,1.402833333,7834000,59.0525974,58.9,442.849,109090.946,67936.43478,18.5,20.6,18.663,1.431,6.8,6.51,6.77,6.72,0.21,6.822,8.04,8.04,3390.333333,901.3333333,838,462.9166667,3407,484
1968-03-01,15,26732,1020.416667,1968,3,20581000,7213000,2343000,135378.3,6577.829066,0.852466588,30.938,2.578166667,16.834,1.402833333,7828000,59.0774026,59.1,442.849,109090.946,67936.43478,18.6,20.6,18.75,1.45,6.98,6.69,7.12,6.91,0.22,6.822,8.16,8.16,3390.333333,901.3333333,838,462.9166667,3407,484
1968-04-01,16,26732,1020.416667,1968,4,20644000,7238000,2343000,139017.8,6734.053478,2.688392453,30.938,2.578166667,16.834,1.402833333,7867000,59.10220779,59.3,442.849,109090.946,67936.43478,18.6,20.8,18.806,1.462,6.99,6.58,6.87,6.62,0.04,6.822,8.4,8.4,5734.333333,1758.333333,1584,462.9166667,3407,484
1968-05-01,17,26732,1020.416667,1968,5,20644000,7238000,2343000,139017.8,6734.053478,2.688392453,30.938,2.578166667,16.834,1.402833333,7859000,59.12701299,60.8,442.849,109090.946,67936.43478,18.6,20.8,18.861,1.474,6.95,6.71,7.08,6.97,0.26,7.072,8.43,8.43,5734.333333,1758.333333,1584,462.9166667,3407,484
1968-06-01,18,26732,1020.416667,1968,6,20644000,7238000,2343000,139017.8,6734.053478,2.688392453,30.938,2.578166667,16.834,1.402833333,7956000,59.15181818,62.1,442.849,109090.946,67936.43478,18.7,20.9,18.917,1.486,6.56,6.63,6.79,6.62,-0.01,7.072,8.38,8.38,5734.333333,1758.333333,1584,462.9166667,3407,484
1968-07-01,19,26732,1020.416667,1968,7,20729000,7275000,2343000,140954,6799.845627,1.392771285,30.938,2.578166667,16.834,1.402833333,7958000,59.17662338,63.2,442.849,109090.946,67936.43478,18.9,20.9,18.972,1.497,6.03,6.17,6.44,6.49,0.32,6.822,8.34,8.34,5127,-153.6666667,2347,462.9166667,3407,484
1968-08-01,20,26732,1020.416667,1968,8,20729000,7275000,2343000,140954,6799.845627,1.392771285,30.938,2.578166667,16.834,1.402833333,7988000,59.20142857,63.5,442.849,109090.946,67936.43478,19,20.9,19.028,1.509,5.48,5.87,6.21,6.43,0.56,6.822,8.32,8.32,5127,-153.6666667,2347,462.9166667,3407,484
1968-09-01,21,26732,1020.416667,1968,9,20729000,7275000,2343000,140954,6799.845627,1.392771285,30.938,2.578166667,16.834,1.402833333,8022000,59.22623377,61.6,442.849,109090.946,67936.43478,19,21,19.084,1.521,5.66,5.94,6.25,6.6,0.66,6.572,8.23,8.23,5127,-153.6666667,2347,462.9166667,3407,484
1968-10-01,22,26732,1020.416667,1968,10,20814000,7305000,2343000,142905.8,6865.849909,1.384707068,30.938,2.578166667,16.834,1.402833333,8054000,59.25103896,61.7,442.849,109090.946,67936.43478,19,21.1,19.139,1.533,5.57,6.16,6.48,6.83,0.67,6.572,8.21,8.21,5315.333333,1333.666667,-3300,462.9166667,3407,484
1968-11-01,23,26732,1020.416667,1968,11,20814000,7305000,2343000,142905.8,6865.849909,1.384707068,30.938,2.578166667,16.834,1.402833333,8115000,59.27584416,61.2,442.849,109090.946,67936.43478,19.2,21.1,19.195,1.544,5.66,6.13,6.53,6.95,0.82,6.572,8.29,8.29,5315.333333,1333.666667,-3300,462.9166667,3407,484
1968-12-01,24,26732,1020.416667,1968,12,20814000,7305000,2343000,142905.8,6865.849909,1.384707068,30.938,2.578166667,16.834,1.402833333,8088000,59.30064935,60.5,442.849,109090.946,67936.43478,19.2,21.2,19.25,1.556,6.24,6.71,7.06,7.3,0.59,6.572,8.3,8.3,5315.333333,1333.666667,-3300,462.9166667,3407,484
1969-01-01,25,28929,1041.083333,1969,1,20888000,7338000,2437000,144862.3,6935.192455,1.36908369,30.694,2.557833333,17.638,1.469833333,8150000,59.32545455,59,453.939,120238.052,72369.13043,19.2,21.3,19.306,1.568,6.38,6.71,6.99,7.16,0.45,6.822,8.65,8.65,2296,1592.333333,838,481.8333333,2676,540
1969-02-01,26,28929,1041.083333,1969,2,20888000,7338000,2437000,144862.3,6935.192455,1.36908369,30.694,2.557833333,17.638,1.469833333,8174000,59.35025974,59.1,453.939,120238.052,72369.13043,19.2,21.3,19.361,1.58,6.43,6.82,7.03,7.2,0.38,6.822,8.65,8.65,2296,1592.333333,838,481.8333333,2676,540
1969-03-01,27,28929,1041.083333,1969,3,20888000,7338000,2437000,144862.3,6935.192455,1.36908369,30.694,2.557833333,17.638,1.469833333,8175000,59.37506494,59.3,453.939,120238.052,72369.13043,19.3,21.4,19.417,1.591,6.58,7,7.27,7.22,0.22,7.322,8.68,8.68,2296,1592.333333,838,481.8333333,2676,540
1969-04-01,28,28929,1041.083333,1969,4,20950000,7362000,2437000,145458.3,6943.116945,0.411425195,30.694,2.557833333,17.638,1.469833333,8232000,59.39987013,59.5,453.939,120238.052,72369.13043,19.6,21.7,19.405,1.587,6.8,7.22,7.33,7.29,0.07,7.322,8.72,8.72,4034,2556,1584,481.8333333,2676,540
1969-05-01,29,28929,1041.083333,1969,5,20950000,7362000,2437000,145458.3,6943.116945,0.411425195,30.694,2.557833333,17.638,1.469833333,8222000,59.42467532,61.1,453.939,120238.052,72369.13043,19.6,21.8,19.394,1.583,6.74,7.54,7.69,7.48,-0.06,7.322,8.66,8.66,4034,2556,1584,481.8333333,2676,540
1969-06-01,30,28929,1041.083333,1969,6,20950000,7362000,2437000,145458.3,6943.116945,0.411425195,30.694,2.557833333,17.638,1.469833333,8181000,59.44948052,62.3,453.939,120238.052,72369.13043,19.7,22,19.382,1.579,7.13,7.53,7.62,7.5,-0.03,7.822,8.89,8.89,4034,2556,1584,481.8333333,2676,540
1969-07-01,31,28929,1041.083333,1969,7,21028000,7399000,2437000,147072,6994.103101,1.109390114,30.694,2.557833333,17.638,1.469833333,8170000,59.47428571,63.5,453.939,120238.052,72369.13043,19.8,22,19.37,1.574,7.62,7.77,7.64,7.52,-0.25,8.322,9.1,9.1,4382.666667,4592.333333,2347,481.8333333,2676,540
1969-08-01,32,28929,1041.083333,1969,8,21028000,7399000,2437000,147072,6994.103101,1.109390114,30.694,2.557833333,17.638,1.469833333,8188000,59.49909091,63.8,453.939,120238.052,72369.13043,19.9,22,19.359,1.57,7.69,7.69,7.71,7.53,-0.16,8.322,9.19,9.19,4382.666667,4592.333333,2347,481.8333333,2676,540
1969-09-01,33,28929,1041.083333,1969,9,21028000,7399000,2437000,147072,6994.103101,1.109390114,30.694,2.557833333,17.638,1.469833333,8180000,59.5238961,61.9,453.939,120238.052,72369.13043,19.9,22,19.347,1.566,7.77,7.86,8.06,7.81,-0.05,8.322,9.31,9.31,4382.666667,4592.333333,2347,481.8333333,2676,540
1969-10-01,34,28929,1041.083333,1969,10,21111000,7442000,2437000,149150.3,7065.051395,1.413117385,30.694,2.557833333,17.638,1.469833333,8204000,59.5487013,61.9,453.939,120238.052,72369.13043,19.9,22.2,19.335,1.561,7.6,7.73,8.02,7.82,0.09,8.322,9.41,9.41,4316,6196.333333,-3300,481.8333333,2676,540
1969-11-01,35,28929,1041.083333,1969,11,21111000,7442000,2437000,149150.3,7065.051395,1.413117385,30.694,2.557833333,17.638,1.469833333,8218000,59.57350649,61.4,453.939,120238.052,72369.13043,19.9,22.2,19.324,1.557,7.76,7.94,8.31,8.15,0.21,8.322,9.5,9.5,4316,6196.333333,-3300,481.8333333,2676,540
1969-12-01,36,28929,1041.083333,1969,12,21111000,7442000,2437000,149150.3,7065.051395,1.413117385,30.694,2.557833333,17.638,1.469833333,8249000,59.59831169,60.8,453.939,120238.052,72369.13043,20.1,22.3,19.312,1.553,7.81,8.07,8.29,8.33,0.26,8.322,9.7,9.7,4316,6196.333333,-3300,481.8333333,2676,540
