Area,Median Price March 2025,Projected Price March 2050,Three Bedroom Avg. Lease Rate
All TRREB Areas,1280000,5048031.506,3449
City of Toronto,1440000,5679035.444,3856
Toronto West,1365000,5383252.348,3691
Toronto Central,2175000,8577709.786,4410
Toronto East,1175000,4633935.172,3009
Toronto W01,1975000,7788954.863,4000
Toronto W02,1661000,6550609.634,4000
Toronto W03,950000,3746585.883,3250
Toronto W04,1144500,4513650.046,3390
Toronto W05,1075000,4239557.71,3433
Toronto W06,1342500,5294517.42,3661
Toronto W07,1675000,6605822.479,4485
Toronto W08,1560000,6152288.398,3868
Toronto W09,1222500,4821264.466,3274
Toronto W10,1057500,4170541.655,3225
Toronto C01,2101000,8285870.464,4840
Toronto C02,2549500,10054653.38,6125
Toronto C03,2340000,9228432.597,8000
Toronto C04,2560000,10096063.01,4775
Toronto C06,1449500,5716501.303,3400
Toronto C07,1635000,6448071.494,4079
Toronto C08,1707012.448,6732072.359,4571
Toronto C09,4300000,16958230.84,7000
Toronto C10,2132750,8411085.308,4313
Toronto C11,3325408,13114659.65,4827
Toronto C12,3219000,12695010.48,4880
Toronto C13,1755000,6921324.448,3250
Toronto C14,2554000,10072400.36,4050
Toronto C15,1575000,6211445.017,3615
Toronto E01,1655100,6527341.364,4150
Toronto E02,2258000,8905043.079,6046
Toronto E03,1200000,4732529.537,3213
Toronto E04,939000,3703204.363,3325
Toronto E05,1265500,4990846.774,3158
Toronto E06,1150000,4535340.806,2907
Toronto E07,1106000,4361814.723,2962
Toronto E08,1175000,4633935.172,2900
Toronto E09,1005000,3963493.487,2691
Toronto E10,1177500,4643794.608,2963
Toronto E11,1085000,4278995.456,2738
