,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40,iter_41,iter_42,iter_43,iter_44,iter_45,iter_46,iter_47,iter_48,iter_49,iter_50,iter_51,iter_52,iter_53,iter_54,iter_55,iter_56,iter_57,iter_58,iter_59,iter_60,iter_61,iter_62,iter_63,iter_64,iter_65,iter_66,iter_67,iter_68,iter_69,iter_70,iter_71,iter_72,iter_73,iter_74,iter_75,iter_76,iter_77,iter_78,iter_79,iter_80,iter_81,iter_82,iter_83,iter_84,iter_85,iter_86,iter_87,iter_88,iter_89,iter_90,iter_91,iter_92,iter_93,iter_94,iter_95,iter_96,iter_97,iter_98,iter_99
2025-04-01,97557.98,97687.1,97892.18,97980.54,96396.555,97582.63,97589.234,97852.32,97805.016,97639.79,97572.11,96845.95,97509.32,97194.32,97951.1,97657.766,97209.89,97525.98,97789.445,97756.16,97764.266,97857.27,96749.39,97582.07,97421.766,97743.49,97537.51,97258.664,97369.1,97548.016,96311.1,97416.29,97468.7,97272.39,97511.74,97635.5,97704.34,97606.64,97186.43,96627.86,97321.1,97388.7,96455.6,97712.73,97705.65,97608.98,97512.2,97756.99,97967.45,96417.71,97929.71,97693.625,97547.555,97710.96,97877.71,97644.91,97452.89,97435.15,97551.27,97548.484,97525.32,97564.57,97497.79,97572.766,97493.15,97794.016,97740.77,97729.96,97599.48,97584.12,97566.62,97634.016,97635.6,97654.31,97435.05,98181.08,97610.36,98089.27,97561.875,96914.69,97666.516,96710.555,97904.68,96568.35,97520.484,97335.87,97670.336,97710.86,97792.805,97779.086,97689.34,97726.24,97530.99,97794.11,97618.66,97775.83,96603.91,97804.836,97398.734,97327.32
2025-05-01,87139.88,96607.68,95601.89,94690.89,89228.04,95873.8,86148.08,95598.52,94729.55,95501.75,86288.93,95503.75,86802.97,87625.05,95421.81,86443.945,95650.96,94761.89,95723.69,94588.17,95506.76,95755.28,95634.72,79483.46,95554.5,86217.12,87356.55,86271.65,95794.27,90044.14,87532.01,96059.945,86840.805,87131.24,79551.56,87144.62,94412.26,95519.6,95648.31,95758.2,96213.06,95999.6,95554.04,95764.41,86946.71,79142.41,87789.49,95907.81,96016.164,95737.836,95653.516,78159.74,94715.266,95015.63,94644.75,86073.59,95730.54,78627.68,94427.83,95823.695,95745.055,87458.49,87635.33,94830.87,87034.15,95676.04,79552.695,97576.945,86771.016,94756.016,79711.5,79493.914,96500.68,87015.48,89430.875,87087.125,85931.45,94715.72,86576.36,95504.2,78693.47,95704.88,87219.19,79756.51,87030.25,85990.484,94545.79,79217.086,95619.03,86129.59,86079.09,95070.92,86280.45,87183.34,87489.11,95637.0,86797.67,95618.76,95530.984,95750.99
2025-06-01,96674.13,95762.58,87312.41,95862.086,87638.59,96843.92,95999.33,86278.73,87603.49,95505.02,95747.7,86209.97,95591.59,88021.125,87135.89,95571.914,94607.39,95501.93,86881.805,87744.05,86656.65,87070.43,86668.38,95639.1,95859.53,87621.29,95599.34,87216.03,87429.64,95861.45,95863.92,86371.836,78406.19,94753.12,96649.06,87447.66,95736.56,95653.88,95872.516,79388.234,87400.54,87464.5,95923.18,87097.84,94720.95,94419.28,96451.734,94589.35,87603.99,87133.23,87319.73,95621.13,79607.65,95811.734,79308.4,95682.7,95820.05,87464.914,95672.31,85786.195,94647.54,94806.54,95844.625,95696.57,87310.66,95450.125,95748.805,95286.5,86830.625,94358.61,87701.375,95644.02,95761.945,95615.11,87109.72,95723.6,87038.39,94684.016,87059.63,95618.484,87227.766,95547.2,87547.04,95986.234,94577.44,87002.04,87044.86,87161.33,88608.25,95803.69,95587.484,87545.87,96660.67,95849.38,96054.086,95265.51,95747.79,95703.055,96415.41,87374.625
2025-07-01,94515.32,95858.9,78570.78,87373.96,88230.23,86614.266,94536.586,87946.03,95959.05,95670.664,95809.91,87235.336,87440.73,87143.2,95694.12,96112.91,87030.75,88513.14,95781.67,86474.62,95823.695,95673.49,95462.33,95910.375,86986.69,79618.05,95761.67,86580.49,86038.14,87061.8,87321.4,95599.34,96032.375,96090.83,95591.41,95834.94,95727.44,87227.09,96559.32,95952.914,86323.83,94396.85,87229.59,87108.38,94551.74,87185.266,95930.86,95752.18,87673.95,94595.38,95745.6,95620.586,95770.9,95986.77,87160.07,95578.19,95955.2,96051.7,95506.76,85972.04,95736.195,95853.14,87774.01,80492.586,87137.13,79253.51,95797.3,95812.01,95351.95,87529.26,94260.48,95950.35,95645.4,87271.28,85978.1,94210.6,95460.5,94533.62,79428.15,94642.586,95745.055,88251.26,95255.8,96161.05,94573.92,79714.23,95869.86,95840.33,86283.25,94492.336,86181.52,95539.37,96429.11,87639.59,94637.8,95731.99,78158.92,95799.03,96056.11,86870.875
2025-08-01,96462.31,80324.42,88096.625,87744.125,88238.98,88401.875,87955.17,97020.305,87050.586,95501.57,96290.71,79410.57,80093.41,88867.97,87164.31,96608.234,96364.84,89658.805,96865.91,87389.625,95764.05,86980.38,88354.0,96606.75,87341.88,96733.52,87031.49,96571.016,87739.03,96231.69,88023.39,87960.375,96513.56,88108.48,87978.99,95659.35,87151.09,96404.47,96717.38,80579.99,96956.2,96758.34,96800.62,87821.484,87755.76,87845.02,96257.75,88690.76,79945.67,96564.02,95555.13,86826.56,87456.664,87429.23,88519.305,96002.43,96648.695,95658.805,87460.66,80264.23,96596.445,87925.305,88761.41,86931.95,96550.67,96862.85,96421.39,96785.48,87245.15,97000.23,96649.984,87943.09,88407.27,96551.22,96389.484,96681.51,95209.836,88099.56,96621.5,87890.85,97167.9,87946.445,96654.04,87578.19,96929.67,86910.56,96777.36,96567.8,96623.26,95938.28,88078.56,88324.17,96557.58,87094.1,87992.76,88177.234,88345.99,96677.734,80220.61,80412.8
2025-09-01,88398.164,96824.25,87144.78,87102.66,79914.04,96760.74,96472.26,87233.586,96617.26,96750.5,88177.484,96437.21,88490.6,87117.85,96391.5,96890.84,87271.28,79956.88,96680.4,96905.266,96513.945,87551.625,88152.92,88577.914,80833.13,87273.11,96317.53,96723.01,96751.33,88005.17,79653.664,96373.67,87026.766,95704.52,96272.625,95646.76,88623.2,96546.25,87363.125,96431.31,97255.6,96851.86,97265.53,88039.43,97041.67,96790.1,88485.46,96926.71,80403.516,96732.33,96617.914,80766.56,96798.02,88222.15,96893.08,96558.4,80072.79,96587.78,79950.016,87960.195,80703.195,96605.94,79878.305,87804.48,96710.27,96622.516,88112.836,96597.82,88004.42,86677.305,95591.59,88557.305,95881.38,95129.96,95690.19,96801.266,88421.85,79694.39,96979.5,95763.5,96670.72,94648.086,96611.36,87356.875,96653.945,87956.76,95782.305,86934.11,96740.07,96630.44,81021.23,96619.29,88713.51,80326.87,95619.5,96397.03,96577.93,96592.484,96839.86,96458.266
2025-10-01,97338.93,96465.26,88227.78,87810.59,88439.82,87062.38,96619.664,80510.94,86621.78,88165.375,87544.19,88967.19,87304.75,88219.29,87996.78,87101.24,88430.7,96521.95,79336.84,96814.19,96665.74,87171.05,95435.1,87774.17,95555.86,87974.375,97009.38,88084.695,87170.71,96644.45,87600.56,88004.586,80258.414,80578.99,96530.77,88102.586,86748.6,96935.95,96178.93,95385.6,96343.34,96432.51,86924.49,95536.086,96481.45,96589.63,80172.96,87278.11,87886.75,87060.555,96066.0,96455.14,95626.15,96699.484,86982.875,95637.64,86854.055,80011.42,96511.73,88266.92,87781.54,95749.52,79640.52,87867.64,96365.68,86839.15,95856.055,87763.45,95780.31,80719.82,87784.13,87740.695,87890.6,87948.71,87779.195,80267.07,95570.26,87135.305,95521.6,96632.195,87844.26,88156.54,86872.11,87649.37,95918.7,87812.18,95614.2,88222.15,87972.79,88070.836,95462.414,88018.44,87001.12,86966.2,80059.2,96883.64,80577.99,87925.734,87997.875,96686.21
2025-11-01,98401.55,98507.0,98453.93,89338.9,89910.03,98831.63,99125.484,98650.83,89788.78,98293.695,90439.85,89562.66,90054.19,97766.13,98473.55,97971.93,89921.17,89627.85,98642.266,98060.65,98591.87,90312.72,89714.57,98562.805,82058.4,98555.01,88656.34,90116.3,90372.695,90248.84,98623.37,88572.164,98500.79,89721.32,89561.55,88692.7,88151.914,98807.88,99101.85,98337.01,98443.51,98399.21,89869.39,89813.36,98499.3,87299.17,98664.19,90030.07,89959.766,81903.75,98537.91,98411.02,89961.32,89598.96,98080.85,89780.48,81867.75,89257.055,96768.95,89391.31,98355.57,98734.89,97486.08,90266.75,88769.03,98262.195,82112.97,98384.85,81802.82,89745.63,81906.875,89396.68,81309.32,89780.48,89689.24,98073.94,98043.445,98563.0,89629.9,89996.33,79368.016,98587.35,98421.445,89625.72,89804.625,89859.62,98251.33,89642.805,89781.234,89373.664,87713.51,99022.4,81467.586,89824.484,90395.62,89900.42,89541.56,98159.82,98593.08,81769.68
2025-12-01,90056.25,97304.484,88564.23,98197.84,89835.11,81813.12,97324.266,97258.94,81807.195,98468.484,81968.77,98582.37,89014.875,98294.26,90197.984,89550.27,89738.62,89717.39,88774.62,98337.01,98738.734,89674.79,88275.67,82151.89,97249.48,89737.16,88784.77,89752.39,98329.59,98493.28,88345.41,80732.53,89930.34,88603.26,97504.305,98409.81,88579.77,98317.6,97215.164,87531.086,98451.016,88214.91,98412.53,97472.88,90071.8,80882.95,81811.484,98541.1,98599.38,89847.96,98309.625,89931.98,89511.0,97298.18,88566.086,89985.42,81989.41,81622.19,89625.805,98585.09,90007.66,98582.555,98597.32,88462.26,81554.266,97554.336,98416.195,89366.34,98328.375,88332.6,98738.555,97855.49,90207.27,98381.56,89530.805,89793.484,97570.91,89819.43,97698.56,89518.17,81492.14,89764.73,98441.06,81668.91,98648.2,89897.51,89537.805,89584.01,98793.375,89536.62,88379.195,89707.555,89058.35,89948.7,90169.266,88896.445,88512.72,89859.62,90397.17,98390.58
2026-01-01,97286.02,98914.23,89445.125,81480.016,98562.914,88728.91,89336.69,81801.89,88777.49,98564.69,80848.71,97150.38,97211.086,88541.84,89613.16,89855.51,89570.6,80830.06,89681.46,87724.3,89672.484,88638.93,89458.43,88707.086,89381.336,90083.22,89389.87,89517.31,89848.65,89382.19,81652.79,89458.86,81156.48,81869.164,81848.945,88459.22,81601.41,97294.47,98383.06,80904.32,97463.03,80846.164,89535.33,89685.66,89691.05,97129.08,88906.53,80710.5,98431.02,89575.05,89375.03,98435.25,89576.33,90016.58,89375.03,89976.414,89481.555,89566.67,98455.44,80567.85,98684.62,98680.48,89522.78,81612.766,97331.13,98204.11,89522.52,88635.625,98374.055,89594.6,97239.086,89707.05,89107.8,89519.71,98235.5,89851.4,98214.32,88723.5,98283.48,88403.98,89444.96,97319.06,98161.695,89582.305,88756.164,89834.42,81572.39,89770.54,81693.52,89754.71,81080.04,82103.88,89556.25,89786.3,89647.516,89321.26,89551.3,98219.29,98568.83,98320.98
