,iter_0,iter_1,iter_2
2025-04-01,1082113.0672001527,1077404.9298555662,1080493.314287023
2025-05-01,1080252.3637644497,1086268.6984747476,1083595.1501370592
2025-06-01,1090372.2980427546,1079124.7624416754,1091377.0820842572
2025-07-01,1067349.507181759,1080084.2660392046,1100139.7960110714
2025-08-01,1056495.4611745784,1083125.4703720012,1101958.4771507108
2025-09-01,1073203.2482020939,1078248.8077845254,1093245.2412192065
2025-10-01,1054370.5499644508,1061445.942738452,1117745.2414754266
2025-11-01,1053184.11584044,1057448.9113375973,1131701.2520231733
2025-12-01,1031016.3203838456,1048247.3840311145,1118269.4008062445
2026-01-01,1040681.5158494274,1062072.2556107386,1135764.5563392718
2026-02-01,1017810.4640214341,1035354.3941840872,1116284.897729217
2026-03-01,1010920.472413051,1047334.5794339087,1122154.834301027
2026-04-01,1004640.4849858767,1053532.1725533349,1125431.8036258973
2026-05-01,1002819.1369227472,1055568.430512043,1122339.3836676802
2026-06-01,1017179.1893497611,1061952.442976755,1141489.855760352
2026-07-01,1023620.77625102,1068098.7269028993,1135959.3650035383
2026-08-01,1009215.1928259946,1089296.0292304917,1134261.8934075194
2026-09-01,1025699.5364678437,1084016.9643228499,1129744.7490695554
2026-10-01,1053531.213312095,1077818.095174172,1146161.5730934546
2026-11-01,1059783.9016120674,1081746.660616178,1153705.812459002
2026-12-01,1065136.9088232492,1069412.2616542259,1162565.987996356
2027-01-01,1059489.2563514833,1055637.1340806675,1149878.405782867
2027-02-01,1065565.047700135,1045750.0189319444,1136792.7956799446
2027-03-01,1065932.9410091606,1042464.0018876272,1166886.9006498135
2027-04-01,1054494.8073429058,1029569.1487841529,1162276.3495032883
2027-05-01,1049020.5206951653,1050077.0531954002,1154865.5229325695
2027-06-01,1070095.7403280511,1036932.1141331668,1162640.384653485
2027-07-01,1077287.0062967904,1023814.8097131783,1177078.1398825014
2027-08-01,1069534.2094070185,1031259.5167815835,1186895.5775806897
2027-09-01,1059496.0382588,1034094.8627454505,1184429.0449841644
2027-10-01,1067715.173905983,1044983.0022297023,1184279.204256482
2027-11-01,1072855.4362175278,1050341.426536913,1185079.8542748776
2027-12-01,1070092.9000922479,1052425.5760861358,1176857.3328609844
2028-01-01,1090470.9890121494,1048313.9655765796,1191723.3870813218
2028-02-01,1068199.1225503932,1059068.449591873,1202143.4267194383
2028-03-01,1084230.8924197298,1039848.8087554895,1180457.81840316
2028-04-01,1099919.5186837993,1040703.6994647871,1214549.007888882
2028-05-01,1112682.6344101636,1064567.7393924824,1213610.3484288575
2028-06-01,1093977.9431642117,1060431.2701029365,1224805.8085407068
2028-07-01,1072234.2322264356,1068822.0619462426,1211118.4717243852
2028-08-01,1074602.9116607192,1043466.6405081229,1217194.0446088077
2028-09-01,1075306.729256868,1036060.0872318349,1226123.5932172611
2028-10-01,1065343.1636731222,1015922.416649258,1235239.7859023244
2028-11-01,1078908.1979887723,1015271.247006318,1227809.9301962566
2028-12-01,1072593.4086479812,1004017.3361499436,1239264.8016640476
2029-01-01,1064764.1259639564,1026918.2273247868,1227299.0965406906
2029-02-01,1082036.5179450728,1014512.8693774336,1239312.1315365806
2029-03-01,1078199.989933419,1009849.5683845141,1229974.573141552
2029-04-01,1084284.3569510186,1021049.1283286504,1233158.902140526
2029-05-01,1090003.4701545374,1003197.4137103518,1243782.1721814414
2029-06-01,1106272.8875332354,1001964.332073457,1226655.5242748256
2029-07-01,1098682.2897997603,1001766.303814249,1225191.9070370817
2029-08-01,1089117.7500694625,1007812.1476815464,1232258.4641126238
2029-09-01,1086811.343742797,1017089.4940271418,1228531.6585897666
2029-10-01,1114303.598272345,1013112.7458062369,1212791.6783401687
2029-11-01,1111866.8491665157,1025534.7193793596,1207747.0886271233
2029-12-01,1114240.0893638826,1029756.5660603557,1190578.3703383864
2030-01-01,1129764.6450222926,1023407.186463745,1183227.0138414325
2030-02-01,1128459.2806051334,1017775.3017790605,1189304.3700445315
2030-03-01,1115064.542451001,1026441.6033232255,1182437.8767834394
2030-04-01,1119993.4241860032,1019251.4849932912,1174475.575548113
2030-05-01,1126075.4117909505,1026188.2260588963,1162753.4818001925
2030-06-01,1116553.713254406,1027042.2222650298,1162776.4211111127
2030-07-01,1120489.7097064918,1039355.8834830961,1154791.0057558324
2030-08-01,1124311.1196419504,1035184.3983711342,1152609.4514832427
2030-09-01,1131459.8069969572,1029775.5082862315,1152102.8089586545
2030-10-01,1132938.3179640837,1045516.8185402793,1159525.6291004014
2030-11-01,1135998.3547722984,1036289.3289827057,1157780.4860115147
2030-12-01,1170810.4679131366,1048780.0587346347,1154008.534218457
2031-01-01,1155890.7824138415,1043335.5593400733,1173418.5128090088
2031-02-01,1179856.252794718,1038639.6824475192,1168064.9708707086
2031-03-01,1180227.4279143438,1040642.3397409874,1173255.4692507233
2031-04-01,1173003.5018255666,1041184.2953206165,1165807.4039612757
2031-05-01,1186648.707530305,1066075.3132112504,1166895.4325961093
2031-06-01,1182048.3943333046,1055398.2865592954,1190565.3666329836
2031-07-01,1170697.5935239587,1045927.0098207151,1180528.8800371292
2031-08-01,1196503.3178255062,1037874.5769217749,1189851.1867840837
2031-09-01,1201977.2899393432,1057175.0919140514,1216214.852193894
2031-10-01,1232939.6405698394,1070276.7050793113,1209153.6555613452
2031-11-01,1213767.81149043,1072211.0655041502,1221041.4282586358
2031-12-01,1191549.0534868652,1077329.6213464176,1206690.8561294137
2032-01-01,1194362.1323443067,1082232.9570491794,1202322.9470007024
2032-02-01,1183875.2020776484,1079456.7921012447,1219371.3074451205
2032-03-01,1211337.0103662878,1082048.6256322481,1208449.4995003822
2032-04-01,1231634.2677646356,1087764.3158862225,1206679.2792783272
2032-05-01,1239464.0536400462,1076324.3307284443,1200183.249331926
2032-06-01,1241803.1062661817,1090798.9957438603,1201200.7830204347
2032-07-01,1244759.0663113447,1090722.7968150394,1184481.447984763
2032-08-01,1273332.5556989368,1098260.9085944572,1191558.8076380452
2032-09-01,1286920.238335455,1079335.3201301002,1166934.2302518468
2032-10-01,1272059.804113618,1091214.0530314948,1156939.2814298768
2032-11-01,1270918.0650655925,1105345.9920714346,1153196.8983500453
2032-12-01,1289876.3747289032,1102161.3736108786,1153130.3660015452
2033-01-01,1278193.1796889943,1114546.8605084547,1147472.2263763915
2033-02-01,1270842.8905634242,1114391.7920907708,1175383.0608186882
2033-03-01,1292598.5424401043,1117684.94112532,1177957.2475325393
2033-04-01,1308447.3418551604,1134521.7805855488,1199589.851733183
2033-05-01,1301006.05907738,1139417.1997706657,1215450.6415558457
2033-06-01,1318654.8280619208,1170252.4416091265,1236441.4700058906
2033-07-01,1321300.6857085954,1170403.393045429,1248331.1626777372
2033-08-01,1302114.865737972,1169373.6080619546,1245689.8650773899
2033-09-01,1283347.8075111436,1184961.7080974437,1245743.681822953
2033-10-01,1274664.3141394674,1182601.681903044,1258454.5164699927
2033-11-01,1271013.6673022963,1194228.4551933696,1271651.74005144
2033-12-01,1264501.3499213303,1193106.7091926169,1271505.4368035605
2034-01-01,1273583.9588876881,1174102.866053428,1273789.3051451875
2034-02-01,1282455.250804115,1158611.9091336997,1257145.6962204291
2034-03-01,1286499.2567704886,1159270.914512979,1265823.2019209214
2034-04-01,1284345.83844625,1156785.4364392562,1244838.7397283907
2034-05-01,1288527.3364020102,1166810.2792808833,1250828.1996896635
2034-06-01,1299098.5866149683,1199900.213698802,1237548.8165667183
2034-07-01,1305101.1736055799,1193191.3106663998,1256186.697457789
2034-08-01,1297531.8929156864,1187716.168792491,1260075.5084388715
2034-09-01,1279081.2740459307,1183072.5166097777,1287998.6699889041
2034-10-01,1281376.101147308,1210607.3307936506,1302354.2173150969
