,Bear_10th,Base_50th,Bull_90th,Absolute_Max,Absolute_Min
2025-04-01,1077856.3083040707,1079614.8478118025,1105225.4941467012,1111628.1557304258,1077416.6734271378
2025-05-01,1108096.7490143166,1117691.9092928297,1134051.408282026,1138141.283029325,1105697.9589446883
2025-06-01,1111694.9955012049,1157875.3892245335,1158830.0318354024,1159068.6924881195,1100149.8970703727
2025-07-01,1101916.3656300718,1139548.620607847,1179509.9549145242,1189500.2884911934,1092508.3018856281
2025-08-01,1075637.9976529367,1160636.8690037443,1263479.3716976698,1289189.9973711513,1054388.279815235
2025-09-01,1088973.0576092075,1194293.6720125948,1307139.054016038,1335350.399516899,1062642.9040083606
2025-10-01,1052653.739345701,1255767.2033682554,1350639.1353088918,1374357.118294051,1001875.3733400623
2025-11-01,1032109.4968545417,1308797.4678543122,1342877.750571018,1351397.8212501947,962937.5041045991
2025-12-01,994084.2146397702,1317332.98667101,1358096.140329209,1368286.9287437587,913272.0216319603
2026-01-01,998580.3076412872,1353725.7376382577,1459211.4120167615,1485582.8306113875,909793.9501420446
2026-02-01,959957.0345999284,1330464.5742021417,1515321.019263635,1561535.130529008,867330.149699375
2026-03-01,926979.079149394,1330278.3466838512,1612511.409325855,1683069.6749863562,826154.2622657797
2026-04-01,916934.9397891241,1368709.3829251984,1739301.6774517596,1831949.7510833999,803991.3290051054
2026-05-01,894528.6284780204,1347599.411796432,1758166.7356003437,1860808.5665513217,781260.9326484175
2026-06-01,903708.8390511962,1341754.126614305,1838554.088089134,1962754.0784578414,794197.517160419
2026-07-01,890451.0770501951,1251225.2224845283,1937236.8917306215,2108739.8090421446,800257.5406916118
2026-08-01,882754.9082044779,1189160.367578203,2047747.5350348873,2262394.326899058,806153.5433610466
2026-09-01,856849.9496024379,1106570.8128087488,2127428.470705176,2382642.885179282,794419.7338008602
2026-10-01,833584.0642281066,993977.5957273105,2269779.5209953026,2588730.0023123007,793485.6813533057
2026-11-01,806975.5152065575,978182.6371325976,2414404.8968551136,2773460.4617857425,764173.7347250475
2026-12-01,802693.9027065078,924834.8316941635,2489973.7760044346,2881258.512082002,772158.6704595939
2027-01-01,788547.9602700823,884541.628048586,2563263.821035588,2982944.3692823383,764549.5433254564
2027-02-01,762104.654240274,857592.606894716,2540101.487405169,2960728.7075327816,738232.6660766634
2027-03-01,747076.9923552573,845090.0872950637,2788678.003123919,3274574.982081133,722573.7186203056
2027-04-01,733663.7738975474,806690.329776227,2963032.01696984,3502117.4387682434,715407.1349278775
