,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9
2025-04-01,1101108.9774780807,1074802.6062209236,1077229.0826048686,1113062.4931804722,1058302.55882275,1088799.6063433103,1076403.262670808,1071220.2003173085,1081950.2860075908,1082364.5279837365
2025-05-01,1106268.4136914925,1093589.6431992177,1101585.491216129,1138881.2873251508,1069826.486801641,1096627.6682495081,1103081.2252717265,1098612.6206941702,1066770.1410909777,1080473.7040507996
2025-06-01,1112738.7235546832,1076907.9410249826,1116526.9758788035,1169205.166902347,1069445.7023350925,1098141.1519123516,1114101.9819466274,1100117.3147540602,1055927.2721708566,1063089.5389381002
2025-07-01,1034674.1585326508,1096216.4486676715,1117306.2733736683,1161090.450658094,1037862.1087293804,1117211.1599026257,1109525.5077199207,1127203.6507138892,1056749.8511194093,1026714.4691624913
2025-08-01,1000650.1626541711,1095043.0794862031,1154082.343421432,1145661.3877897917,1037809.5676272956,1151567.1361154965,1119642.9697024957,1128770.494037741,1091559.9555354598,995711.8906231925
2025-09-01,1011538.0447933688,1105633.164189285,1142167.7595468613,1179967.1823209806,1046309.3159889939,1167250.8157052943,1147817.1093818147,1109455.1900943797,1094260.2498344954,971057.6034755199
2025-10-01,964186.9241115139,1118941.962186044,1136779.8947895851,1173776.0855470765,1012625.7330779211,1155618.021483762,1124407.3075449865,1110998.8726050702,1095269.9359703665,939941.595800306
2025-11-01,943036.0161589736,1109563.6770500615,1090924.2167119046,1155345.3547992376,1006480.184227115,1165368.773163726,1102307.6028470588,1100839.4636032523,1090206.752802642,925506.5202956425
2025-12-01,910537.1224913308,1068461.6545845857,1086154.7349723256,1154940.046103645,1005968.7933164908,1182382.4665010106,1056630.0021027199,1109235.4633714727,1080828.640228512,911361.0800990926
2026-01-01,921859.7349203362,1074390.0139632209,1137539.3037173506,1150535.4917067594,984852.1315369067,1245019.5765234178,1027207.0102530454,1136087.7195343731,1077514.8377641656,905910.0030426931
2026-02-01,892342.2142669416,1031866.7104330682,1141813.0287117772,1131670.3770231283,971162.6664027061,1337255.242584024,982088.8731436336,1140345.3651571518,1064317.7792005357,870736.9483540646
2026-03-01,866794.2838211535,1018071.1333794977,1166051.5244268177,1145486.4249971271,969566.5638289858,1339526.50170194,1013809.6762900356,1154267.739386775,1085454.8943487555,868303.7878878688
2026-04-01,858260.7519554148,1029299.6089736366,1184864.020791774,1112431.4415073234,968538.107052673,1337893.7220608548,1027442.0416358196,1100865.4430345264,1116910.9834810453,854026.3874541473
2026-05-01,855431.1408362975,1012447.9830456707,1140889.1793854302,1155357.3805262859,951266.4773661136,1282448.7109992148,1074582.983602583,1054921.069673265,1156983.647249687,842859.1300444144
2026-06-01,879752.794822998,999877.3536618826,1172388.9711853787,1147739.566226266,954610.3137759042,1263791.8223124552,1063699.4525192385,1040158.4411810705,1150472.0757922386,807320.8707652104
2026-07-01,890383.1127851537,970822.0512070971,1199773.2695393807,1160786.0698181628,939062.3584385312,1222221.572499137,1086988.9920083364,984404.30488006,1162743.4237717462,771834.3304592064
2026-08-01,892132.1215338528,937005.7065879937,1170896.8647116248,1169285.1268142543,962179.6442490185,1161084.8130744451,1085601.0622165482,995509.6349111347,1129173.882978004,747971.0529393618
2026-09-01,883924.4632950627,904783.559959731,1164606.797423363,1131610.231571331,936355.6518533457,1135708.975428638,1112932.616155245,982238.2932365183,1148159.9218898227,736832.7845476926
2026-10-01,875420.8667459089,866687.2998609017,1173389.2680771786,1106045.1508595017,910377.4303897615,1135790.345170349,1131808.7142522635,1001263.3412055565,1145299.8140262472,740987.3346500895
2026-11-01,857421.372774408,858614.977904521,1154600.6394975672,1039954.7882796741,905895.2625661388,1103163.7458399008,1189933.1029689815,1030788.6517126707,1136297.4363585403,722225.4084491917
2026-12-01,860936.5029096497,844981.0152634194,1143605.9235521602,1032565.3625607911,889784.1913734535,1063738.0859197285,1216399.60683651,1030529.0790283178,1064590.7761678076,717326.4298930548
2027-01-01,846114.2206261337,835861.0720564364,1102609.4030027639,1016141.7530432183,911661.9735216226,1102089.2533889373,1254676.1788636113,1017704.8445148725,1013659.6710521899,714726.7655150509
2027-02-01,832832.9167336131,827511.6883087957,1088184.146318911,980498.6803977875,920389.4721944523,1138799.9373386684,1266859.154665929,992922.3773001549,999316.746533171,712754.6018218509
2027-03-01,823257.6712144418,832431.1761087013,1119675.5977378867,944707.7133110459,923426.6606646591,1145842.1153627094,1358689.0432025604,1008970.8529772324,1010512.7973163347,717206.2813484693
2027-04-01,815621.566044925,812989.2961294318,1118512.0461521703,928847.2204485422,955897.4260237482,1188735.6777023105,1324313.6842337763,1020585.4348411527,994433.1916341386,713487.0866840284
2027-05-01,805992.6157431328,798087.9584410395,1088979.1251209918,867356.0446955826,961158.6251111107,1168403.7279875574,1272732.610970486,1017553.7983690585,1036971.7993954916,711228.0818460819
2027-06-01,825876.3153093872,805434.7295659936,1081179.604425948,872267.8064512276,944648.7784629912,1149058.0850080336,1311183.96439203,1014510.9865962975,1085942.2393798183,691923.457258802
2027-07-01,835112.1906930294,824246.8253798118,1056028.0951021418,881177.8287104229,922869.8416821357,1129656.5740890293,1339816.1590343886,984781.8657330042,1088771.7750621438,690441.9216987555
2027-08-01,841533.6265594681,831545.9415270317,1040546.0952862628,876720.6299300164,919489.3085810352,1125092.2245976948,1354608.1531872542,959204.219245116,1105893.3326641768,688707.6817954493
2027-09-01,841448.7019719578,831077.9999395319,1033865.7542726033,884383.5132741049,892049.9058840763,1121712.6331031523,1381658.7225503726,959923.0234824229,1099991.6192627347,669134.1417147189
2027-10-01,855585.7107336625,832266.0406844815,1027806.9966137694,895104.3613924815,896809.7346319593,1070554.5310485438,1384111.753549976,938789.4873374976,1099839.84130968,668480.4123535441
2027-11-01,886584.6478758899,833718.4700826639,1021553.5179033265,897282.8371424428,897558.6914949719,1057856.581982853,1378271.5925554533,912246.6475582819,1086303.7967634075,661414.3345158185
2027-12-01,872723.0561741601,844487.9780562969,993637.5462834035,869416.615897556,922832.9688771314,1057636.7874083752,1356850.8062322808,894820.6183089063,1066494.7126987048,649914.9271007148
2028-01-01,867484.2814890818,825844.0519118514,958682.6184622865,851234.6678452382,927222.054461543,1050534.2487697012,1374678.8869745617,861108.2706291982,1009542.6890297652,631953.694554374
2028-02-01,868097.9549393582,829389.344608361,964065.1488913503,827198.5629199261,951602.1705364118,1035301.5153300946,1377072.6404018402,857431.2609366338,986370.0453606759,620930.6699589974
2028-03-01,857981.0343146315,814260.1485531196,948446.3695896843,820412.930825671,956015.9524738832,1004085.0417685261,1373684.876248248,862289.6466359587,981045.7668131293,596094.5551314044
2028-04-01,832401.8374287307,807951.6971192315,941520.6524910037,817757.350374132,943027.8868557892,943577.5391136229,1397892.373489405,865774.0405927948,989669.2822986488,595161.4162159716
2028-05-01,824917.4169009827,812596.618344884,914883.9301846378,840986.9571393722,924436.3095105581,948219.724692288,1404809.0526084788,870142.6058231671,1000073.2642192192,602854.346877669
2028-06-01,779559.6025246906,785214.3143104576,890397.2697246642,854149.9886394319,914798.2220813116,927497.2807764449,1451047.895477822,877854.3914406919,1045359.9527906048,607291.456261519
2028-07-01,740082.5436114433,797476.5575668302,885922.575865815,843799.8372876238,923131.7840459727,933648.2833814396,1449111.422466044,897673.8959670499,1060676.5719548273,618863.3489119755
2028-08-01,750823.6845135328,770076.4922718027,886768.8485858588,830047.8905149008,931096.3066716081,920206.6756823544,1471531.6574295796,887077.715056034,1049746.8063734423,622120.4045930566
2028-09-01,749180.8363537836,760545.8865161296,887282.3866173405,831664.5287110452,937402.0783080243,903516.5106596507,1487527.4534817275,894126.5483250397,1036603.9567441382,629909.2037108055
2028-10-01,732997.3195107614,740229.2635487316,893436.8458143626,839142.6567757592,931768.4885838818,892052.7371268206,1517823.8296705321,879805.1650330194,1028838.6517035938,641871.2507388305
2028-11-01,704352.0655788735,741226.5964378885,883415.7784208711,840669.1076548035,944915.1859648793,915940.7332991838,1490798.463968416,904122.2686895906,1021048.3068889872,630443.3479514511
2028-12-01,697243.5699850234,709834.3445888439,877534.2361410015,843225.0590338127,957266.6020405247,930455.9854800745,1483343.0156365696,935736.3078249063,1005325.5295920346,641886.4696126662
2029-01-01,676608.4957096783,714623.0772260136,850469.3961916436,834196.4263768379,949568.5529129852,936895.3916579385,1472885.2404649656,943754.7476159838,985115.3773155496,665225.5259575379
2029-02-01,672697.680000774,698954.3904618156,844139.310921526,832406.6746089193,927025.8677542739,960310.0111339804,1467931.5332296605,983971.8169175474,963895.2428065727,683457.7732923096
2029-03-01,664881.1475153026,699053.285231651,819502.548959076,810360.6812445109,929091.339849493,945887.1590758704,1428759.7578988331,970107.0372829974,980784.5092799097,680131.9126487304
2029-04-01,667494.8113806283,712269.5242153851,823106.4067539421,819602.4758451318,925221.1267626099,949442.6658817017,1403175.619420118,1012458.6714064218,1014946.0632103264,679017.6242798939
2029-05-01,668509.6753613276,704987.7671066695,842835.8851050363,831139.4954843759,910782.1560115234,987829.4077089523,1384993.2687935869,992607.3272181532,1009896.5532861928,676313.0503169588
2029-06-01,683155.6088088229,689732.3583642873,846688.8639201742,839985.3216026095,911195.795713292,1026096.789138875,1359262.270942766,976575.5000363424,1018447.5644611309,656447.5982513755
2029-07-01,683684.337218094,686701.4480106684,846846.7562668431,859515.9767720856,894499.8640233623,1034821.8302698404,1344853.701554589,925103.8096036371,1041945.527340208,641378.6810133463
2029-08-01,678682.8761407997,691623.6569350002,857513.7998152514,889295.1795703531,879245.9000937591,1048132.4993149176,1314512.437276847,908250.6383529264,1047128.1811612686,652814.1664510581
2029-09-01,680172.0218714161,695613.6596416073,835718.9684065212,922015.729570769,866602.0417097479,1072477.7168869849,1261775.0525035479,880383.639105927,1033318.5997230394,642965.5429817572
2029-10-01,682351.4259851148,683332.0753570866,816385.8733463846,920012.0830328362,866064.1515590645,1087880.4123485652,1231447.2483032413,850140.2694922318,1054097.277775529,637805.2490169482
2029-11-01,667692.550345705,670408.0052885364,810193.7418759702,932934.8287066969,853135.3703765103,1079810.25877752,1191100.9412237066,826572.3119521809,1049054.3737481493,621983.4162917326
2029-12-01,683816.436945767,650401.9743328121,808092.2970241416,924310.8875801439,848762.0216603919,1030175.7710010034,1165945.4212015877,802325.0389217074,1054923.5614244032,624463.1664847602
2030-01-01,690648.3844184189,636033.1272194188,805604.4334485625,914928.4322869272,864203.1571977241,1012929.7092132083,1179886.9717445537,806069.394356044,1054165.1317903923,641957.258434868
2030-02-01,697774.9600695975,617283.1950160234,821806.4446179966,909056.2507281124,835469.5228203312,1045554.1285670483,1207031.3700055052,835860.3392859886,1021068.1502095998,640869.3156596684
2030-03-01,684102.185734139,624456.0299863116,778585.4303362945,896614.6114855759,831108.0289323714,1032344.6524350313,1204881.4380953002,851444.9118360393,992192.7896097389,656240.9827282545
