,Bear_10th,Base_50th,Bull_90th,Absolute_Max,Absolute_Min
2025-04-01,1069928.4361678527,1079589.6843062297,1102304.3290483197,1113062.4931804722,1058302.55882275
2025-05-01,1069520.8522305747,1097620.144471839,1109529.7010548583,1138881.2873251508,1066770.1410909777
2025-06-01,1062373.3122613758,1099129.2333332058,1121794.7949811579,1169205.166902347,1055927.2721708566
2025-07-01,1033878.1895956348,1102870.9781937962,1130592.3307083095,1161090.450658094,1026714.4691624913
2025-08-01,1000156.3354510732,1107343.0245943493,1151818.65684609,1154082.343421432,995711.8906231925
2025-09-01,1007490.0006615839,1107544.1771418322,1168522.452366863,1179967.1823209806,971057.6034755199
2025-10-01,961762.3912803931,1114970.4173955573,1157433.8278900934,1173776.0855470765,939941.595800306
2025-11-01,941283.0665726404,1095881.8401575785,1156347.6966356863,1165368.773163726,925506.5202956425
2025-12-01,911278.6843383164,1074645.1474065487,1157684.2881433817,1182382.4665010106,910537.1224913308
2026-01-01,920264.7617325719,1075952.4258636932,1159983.9001884253,1245019.5765234178,905910.0030426931
2026-02-01,890181.687675654,1048092.244816802,1161357.250099002,1337255.242584024,870736.9483540646
2026-03-01,868152.8374811973,1051763.0138641265,1183399.0221543298,1339526.50170194,866794.2838211535
2026-04-01,857837.3155052881,1065082.5260040816,1200166.990918682,1337893.7220608548,854026.3874541473
2026-05-01,854173.9397571093,1064752.026637924,1169530.1536246398,1282448.7109992148,842859.1300444144
2026-06-01,872509.6024172192,1051928.9468501545,1181529.2562980864,1263791.8223124552,807320.8707652104
2026-07-01,878528.234552559,1035696.6484441982,1202018.0998353562,1222221.572499137,771834.3304592064
2026-08-01,877716.0146744037,1040555.3485638415,1169446.3006039914,1170896.8647116248,747971.0529393618
2026-09-01,869215.2954203257,1047585.4546958817,1149804.6094431768,1164606.797423363,736832.7845476926
2026-10-01,854117.3033398205,1053654.246032529,1148108.7594313403,1173389.2680771786,740987.3346500895
2026-11-01,843901.7763418864,1035371.7199961725,1158133.8858447087,1189933.1029689815,722225.4084491917
2026-12-01,832215.5567263829,1031547.2207945545,1150885.291880595,1216399.60683651,717326.4298930548
2027-01-01,823747.6414022979,1014900.712047704,1117816.0805888486,1254676.1788636113,714726.7655150509
2027-02-01,816035.9796601012,986710.5288489712,1151605.8590713944,1266859.154665929,712754.6018218509
2027-03-01,812652.5322278446,976839.2831441392,1167126.8081466944,1358689.0432025604,717206.2813484693
2027-04-01,803039.0751848915,975165.3088289434,1202293.478355457,1324313.6842337763,713487.0866840284
2027-05-01,789401.9707815438,989356.2117400847,1178836.6162858503,1272732.610970486,711228.0818460819
2027-06-01,794083.6023352745,979579.8825296443,1165270.672946433,1311183.96439203,691923.457258802
2027-07-01,810866.3350117062,953825.8537075699,1150672.5325835652,1339816.1590343886,690441.9216987555
2027-08-01,817262.1155538735,939346.7639130757,1148043.8174566508,1354608.1531872542,688707.6817954493
2027-09-01,814883.6141170507,925986.4646832496,1147707.2420478743,1381658.7225503726,669134.1417147189
2027-10-01,815887.4778513878,917799.6109847284,1128267.0325337094,1384111.753549976,668480.4123535441
2027-11-01,816488.0565259794,904902.6695266268,1115500.576342612,1378271.5925554533,661414.3345158185
2027-12-01,825030.6729607388,908826.7935930188,1095530.3220520623,1356850.8062322808,649914.9271007148
