,iter_0,iter_1,iter_2
2025-04-01,1081572.145908144,1076866.3620438108,1079953.2026690354
2025-05-01,1079037.7631961347,1085047.33333567,1082376.791048641
2025-06-01,1088431.80115498,1077204.2823939014,1089434.7970179797
2025-07-01,1064647.0275161772,1077446.3490625487,1094862.3264255705
2025-08-01,1053118.8362309623,1079760.7487239873,1087032.292458336
2025-09-01,1069060.4536619447,1074183.0496120946,1077583.7917038698
2025-10-01,1049600.5294297482,1056738.8587852058,1101107.0358759894
2025-11-01,1047720.760067694,1052057.9574988314,1114112.3262732616
2025-12-01,1024984.4111175825,1042208.3057302635,1100155.5544134525
2026-01-01,1033903.5626505006,1055249.7968292749,1116622.658971975
2026-02-01,1010367.9830693009,1028017.9899015306,1096739.902217617
2026-03-01,1002859.5768590168,1039220.2404704813,1101772.3025460448
2026-04-01,995965.4665640721,1044673.136112584,1100520.6822799968
2026-05-01,993497.2933941865,1045994.7091031448,1104715.4367112108
2026-06-01,1007052.2679571491,1051619.5068782007,1120677.6943414926
2026-07-01,1012754.3284863571,1057001.0843275206,1116958.3892072865
2026-08-01,997836.2244264708,1076174.194743729,1120070.1810247
2026-09-01,1013693.6890327975,1070244.9877541636,1114474.02854212
2026-10-01,1031450.0497725096,1063415.692451388,1129915.4188319775
2026-11-01,1036870.64661127,1066607.1637477255,1136886.4217788312
2026-12-01,1041413.4110501957,1057716.789045374,1140839.9153053334
2027-01-01,1035201.1829514892,1042438.1423786747,1138587.68054834
2027-02-01,1040443.8304184013,1032176.2640810907,1124880.3885501404
2027-03-01,1040109.4130005586,1028247.1726201503,1153889.6223489442
2027-04-01,1028262.6451154796,1016702.90994834,1149456.9417483646
2027-05-01,1022242.8172474764,1036263.4601525153,1145393.218234626
2027-06-01,1042085.1076435895,1022609.4736819863,1152335.8298639858
2027-07-01,1048388.9773221244,1011308.2750429126,1156853.2326906587
2027-08-01,1037459.5222065003,1022714.0387977349,1171951.2375982478
2027-09-01,1027012.4805432474,1025680.24370772,1169363.5646719623
2027-10-01,1026871.1771544594,1035789.0281642344,1168436.4125418973
2027-11-01,1034036.6634056111,1035648.1590575891,1168447.127335138
2027-12-01,1021349.9900543444,1040090.0663099493,1161160.5183259763
2028-01-01,1041190.2645144132,1035775.1158201349,1172299.4071560956
2028-02-01,1021744.8223279733,1045147.4873892249,1181761.5061886532
2028-03-01,1036388.2398808216,1032685.6965684501,1159670.198534595
2028-04-01,1048734.5335467332,1032632.1671205652,1192365.8735599408
2028-05-01,1059788.3303591795,1055607.1486201452,1197779.0287414466
2028-06-01,1041278.398904771,1050804.7264265018,1203879.6288573002
2028-07-01,1019901.9733872483,1060652.9958699585,1195906.7247658148
2028-08-01,1016300.9825246196,1035036.9372500856,1200986.7205418372
2028-09-01,1015680.7102422852,1027005.3197388556,1210908.4407211926
2028-10-01,1015195.9731073226,1006372.5059757327,1223290.3445446086
2028-11-01,1024110.3842582827,1006124.0340080743,1216240.602004053
2028-12-01,1026833.5385832496,991912.3553336089,1226769.418293165
2029-01-01,1016593.1422476096,1013995.3642463894,1213789.619000512
2029-02-01,1032395.6208875548,1001078.5086389036,1224853.579379576
2029-03-01,1028049.5075180051,995855.6286482419,1214814.811932275
2029-04-01,1033161.8672134674,1006228.9482972664,1217148.190571439
2029-05-01,1037919.1554310011,987977.4739824968,1217415.7332176554
2029-06-01,1052709.1210376339,986105.4771231478,1214484.5362951234
2029-07-01,1044736.8515737762,985253.528528909,1214577.357707093
2029-08-01,1034951.7340807085,990539.1351685011,1220768.5760334467
2029-09-01,1032071.7569761113,998991.2597488149,1216265.406237891
2029-10-01,1028568.0728222133,994192.5391209933,1199882.3932440241
2029-11-01,1021094.4757159797,1005711.8302438736,1194095.1706579113
2029-12-01,1026130.883922998,1006745.9646289806,1176336.035601104
2030-01-01,1029535.4681748499,1000620.4617797375,1168293.4979488482
2030-02-01,1038340.5054949904,994450.7858807471,1173511.5499279057
2030-03-01,1026813.288464933,1002250.0909368955,1165958.672163459
2030-04-01,1032880.0899859449,994566.1664993396,1161877.6097479234
2030-05-01,1037796.9239721384,1000667.5720439061,1148809.737815662
2030-06-01,1028335.8915203299,998081.3786208634,1159581.6146589837
2030-07-01,1031248.07110075,1009374.674733258,1163285.0734442936
2030-08-01,1027032.8867379276,1006874.8415226312,1163329.2479225711
2030-09-01,1032800.7280590629,1000946.350234695,1158288.231308035
2030-10-01,1031249.6408115054,1015569.7012483048,1164931.289226613
2030-11-01,1030021.6162168282,1005935.6706482344,1158508.808888137
2030-12-01,1055970.8246633646,1018697.1911586017,1153888.0235721075
2031-01-01,1044546.6280813792,1012733.4792668222,1172514.038577747
2031-02-01,1058550.2527106549,1007503.4442586718,1166386.772727875
2031-03-01,1058382.585872096,1008773.3263163251,1170789.0274931833
2031-04-01,1048444.6986224888,1008626.04329799,1170636.9652642084
2031-05-01,1063306.4971275984,1032050.4460136074,1170948.608573824
2031-06-01,1058269.8420978105,1021033.2716249414,1183967.8335479458
2031-07-01,1043588.9344026278,1011196.0353947886,1169034.247097394
2031-08-01,1056068.7485818474,1003236.6894051972,1177451.885401326
2031-09-01,1060108.2012552633,1021212.0365769764,1217627.9914167733
2031-10-01,1088720.9403846504,1033281.6726484877,1210796.4983825895
2031-11-01,1074386.6769407757,1033084.458114343,1208569.5210203642
2031-12-01,1079052.4923587947,1038247.5038180009,1198282.1369442542
2032-01-01,1079995.2828192478,1042277.8783936019,1192053.0834233433
2032-02-01,1072150.9312627218,1038723.9067949805,1208150.1201964505
2032-03-01,1095148.6074945342,1040524.0245263436,1196234.8006596263
2032-04-01,1110425.8943780877,1045323.2554472728,1204209.8682971871
2032-05-01,1116684.3408962514,1033640.2983864929,1203940.1536332015
2032-06-01,1118046.0774203844,1046842.8105154429,1201823.0032190578
2032-07-01,1117370.8348893167,1045754.1374349409,1179711.9815734888
2032-08-01,1144032.4807078985,1052279.7118929,1185969.9331012305
2032-09-01,1155469.8371735832,1043444.8993200838,1157578.0740265208
2032-10-01,1141366.1336928292,1052117.87286544,1146898.4080808437
2032-11-01,1139581.724484306,1064481.441849971,1140867.3211896871
2032-12-01,1156907.0309204122,1060707.184583264,1145504.2750832213
2033-01-01,1145664.1893462422,1072082.0629032778,1144804.514401901
2033-02-01,1138689.5900798833,1071218.518889801,1172030.4596218385
2033-03-01,1157411.035377048,1073668.068844622,1176917.053198791
2033-04-01,1170880.1227200052,1089115.5177299473,1190725.8610844468
2033-05-01,1163445.3109171556,1093086.0435926525,1201843.7533198032
2033-06-01,1178442.1125988462,1121996.040064731,1221784.7960907721
2033-07-01,1180019.6938250395,1121392.9223487538,1232752.165664629
2033-08-01,1162220.0827908544,1119659.57087821,1232009.6062218125
