,Bear_10th,Base_50th,Bull_90th,Absolute_Max,Absolute_Min
2025-04-01,1078022.6067418575,1080493.314287023,1081789.1166175266,1082113.0672001527,1077404.9298555662
2025-05-01,1080920.9210389715,1083595.1501370592,1085733.98880721,1086268.6984747476,1080252.3637644497
2025-06-01,1081374.2695618912,1090372.2980427546,1091176.1252759567,1091377.0820842572,1079124.7624416754
2025-07-01,1069896.458953248,1080084.2660392046,1096128.690016698,1100139.7960110714,1067349.507181759
2025-08-01,1061821.463014063,1083125.4703720012,1098191.8757949688,1101958.4771507108,1056495.4611745784
2025-09-01,1074212.3601185803,1078248.8077845254,1090245.9545322703,1093245.2412192065,1073203.2482020939
2025-10-01,1055785.628519251,1061445.942738452,1106485.3817280317,1117745.2414754266,1054370.5499644508
2025-11-01,1054037.0749398714,1057448.9113375973,1116850.783886058,1131701.2520231733,1053184.11584044
2025-12-01,1034462.5331132994,1048247.3840311145,1104264.9974512185,1118269.4008062445,1031016.3203838456
2026-01-01,1044959.6638016896,1062072.2556107386,1121026.0961935653,1135764.5563392718,1040681.5158494274
2026-02-01,1021319.2500539647,1035354.3941840872,1100098.797020191,1116284.897729217,1017810.4640214341
2026-03-01,1018203.2938172225,1047334.5794339087,1107190.7833276032,1122154.834301027,1010920.472413051
2026-04-01,1014418.8224993683,1053532.1725533349,1111051.8774113848,1125431.8036258973,1004640.4849858767
2026-05-01,1013368.9956406064,1055568.430512043,1108985.1930365528,1122339.3836676802,1002819.1369227472
2026-06-01,1026133.8400751599,1061952.442976755,1125582.3732036327,1141489.855760352,1017179.1893497611
2026-07-01,1032516.3663813958,1068098.7269028993,1122387.2373834106,1135959.3650035383,1023620.77625102
2026-08-01,1025231.360106894,1089296.0292304917,1125268.720572114,1134261.8934075194,1009215.1928259946
2026-09-01,1037363.0220388449,1084016.9643228499,1120599.1921202142,1129744.7490695554,1025699.5364678437
2026-10-01,1058388.5896845104,1077818.095174172,1132492.8775095982,1146161.5730934546,1053531.213312095
2026-11-01,1064176.4534128895,1081746.660616178,1139313.9820904373,1153705.812459002,1059783.9016120674
2026-12-01,1065991.9793894445,1069412.2616542259,1143935.24272793,1162565.987996356,1065136.9088232492
2027-01-01,1056407.5585348306,1059489.2563514833,1131800.5758965902,1149878.405782867,1055637.1340806675
2027-02-01,1049713.0246855826,1065565.047700135,1122547.2460839828,1136792.7956799446,1045750.0189319444
2027-03-01,1047157.7897119338,1065932.9410091606,1146696.1087216828,1166886.9006498135,1042464.0018876272
2027-04-01,1034554.2804959035,1054494.8073429058,1140720.0410712117,1162276.3495032883,1029569.1487841529
2027-05-01,1049231.8271952122,1050077.0531954002,1133907.8289851355,1154865.5229325695,1049020.5206951653
2027-06-01,1043564.8393721437,1070095.7403280511,1144131.4557883982,1162640.384653485,1036932.1141331668
2027-07-01,1034509.2490299008,1077287.0062967904,1157119.9131653593,1177078.1398825014,1023814.8097131783
2027-08-01,1038914.4553066705,1069534.2094070185,1163423.3039459554,1186895.5775806897,1031259.5167815835
2027-09-01,1039175.0978481204,1059496.0382588,1159442.4436390914,1184429.0449841644,1034094.8627454505
2027-10-01,1049529.4365649584,1067715.173905983,1160966.3981863821,1184279.204256482,1044983.0022297023
2027-11-01,1054844.228473036,1072855.4362175278,1162634.9706634076,1185079.8542748776,1050341.426536913
2027-12-01,1055959.0408873581,1070092.9000922479,1155504.446307237,1176857.3328609844,1052425.5760861358
2028-01-01,1056745.3702636936,1090470.9890121494,1171472.9074674873,1191723.3870813218,1048313.9655765796
2028-02-01,1060894.584183577,1068199.1225503932,1175354.5658856293,1202143.4267194383,1059068.449591873
2028-03-01,1048725.2254883377,1084230.8924197298,1161212.433206474,1180457.81840316,1039848.8087554895
2028-04-01,1052546.8633085897,1099919.5186837993,1191623.1100478654,1214549.007888882,1040703.6994647871
2028-05-01,1074190.7183960187,1112682.6344101636,1193424.8056251188,1213610.3484288575,1064567.7393924824
2028-06-01,1067140.6047151915,1093977.9431642117,1198640.2354654078,1224805.8085407068,1060431.2701029365
2028-07-01,1069504.496002281,1072234.2322264356,1183341.6238247952,1211118.4717243852,1068822.0619462426
2028-08-01,1049693.894738642,1074602.9116607192,1188675.8180191899,1217194.0446088077,1043466.6405081229
2028-09-01,1043909.4156368414,1075306.729256868,1195960.2204251825,1226123.5932172611,1036060.0872318349
2028-10-01,1025806.5660540308,1065343.1636731222,1201260.461456484,1235239.7859023244,1015922.416649258
2028-11-01,1027998.6372028089,1078908.1979887723,1198029.5837547597,1227809.9301962566,1015271.247006318
2028-12-01,1017732.5506495512,1072593.4086479812,1205930.5230608343,1239264.8016640476,1004017.3361499436
2029-01-01,1034487.4070526208,1064764.1259639564,1194792.1024253438,1227299.0965406906,1026918.2273247868
2029-02-01,1028017.5990909614,1082036.5179450728,1207857.008818279,1239312.1315365806,1014512.8693774336
2029-03-01,1023519.652694295,1078199.989933419,1199619.6564999255,1229974.573141552,1009849.5683845141
2029-04-01,1033696.174053124,1084284.3569510186,1203383.9931026245,1233158.902140526,1021049.1283286504
2029-05-01,1020558.6249991889,1090003.4701545374,1213026.4317760607,1243782.1721814414,1003197.4137103518
2029-06-01,1022826.0431654126,1106272.8875332354,1202578.9969265074,1226655.5242748256,1001964.332073457
2029-07-01,1021149.5010113512,1098682.2897997603,1199889.9835896173,1225191.9070370817,1001766.303814249
2029-08-01,1024073.2681591297,1089117.7500694625,1203630.3213039916,1232258.4641126238,1007812.1476815464
2029-09-01,1031033.8639702728,1086811.343742797,1200187.5956203726,1228531.6585897666,1017089.4940271418
2029-10-01,1033350.9162994585,1114303.598272345,1193094.062326604,1212791.6783401687,1013112.7458062369
2029-11-01,1042801.1453367908,1111866.8491665157,1188571.0407350017,1207747.0886271233,1025534.7193793596
2029-12-01,1046653.2707210612,1114240.0893638826,1175310.7141434855,1190578.3703383864,1029756.5660603557
2030-01-01,1044678.6781754545,1129764.6450222926,1172534.5400776046,1183227.0138414325,1023407.186463745
2030-02-01,1039912.0975442751,1128459.2806051334,1177135.352156652,1189304.3700445315,1017775.3017790605
2030-03-01,1044166.1911487806,1115064.542451001,1168963.2099169518,1182437.8767834394,1026441.6033232255
2030-04-01,1039399.8728318335,1119993.4241860032,1163579.145275691,1174475.575548113,1019251.4849932912
2030-05-01,1046165.6632053071,1126075.4117909505,1155417.867798344,1162753.4818001925,1026188.2260588963
2030-06-01,1044944.520462905,1116553.713254406,1153531.8795397712,1162776.4211111127,1027042.2222650298
2030-07-01,1055582.6487277753,1120489.7097064918,1147930.7465459644,1154791.0057558324,1039355.8834830961
2030-08-01,1053009.7426252975,1124311.1196419504,1146949.7851149843,1152609.4514832427,1035184.3983711342
2030-09-01,1050112.3680283767,1131459.8069969572,1147974.208566315,1152102.8089586545,1029775.5082862315
2030-10-01,1063001.1184250403,1132938.3179640837,1154208.166873138,1159525.6291004014,1045516.8185402793
2030-11-01,1056231.1341406242,1135998.3547722984,1153424.0597636714,1157780.4860115147,1036289.3289827057
2030-12-01,1069825.7538313991,1154008.534218457,1167450.0811742006,1170810.4679131366,1048780.0587346347
2031-01-01,1065846.603954827,1155890.7824138415,1169912.9667299753,1173418.5128090088,1043335.5593400733
2031-02-01,1064524.740132157,1168064.9708707086,1177497.996409916,1179856.252794718,1038639.6824475192
2031-03-01,1067164.9656429347,1173255.4692507233,1178833.0361816196,1180227.4279143438,1040642.3397409874
2031-04-01,1066108.9170487483,1165807.4039612757,1171564.2822527084,1173003.5018255666,1041184.2953206165
2031-05-01,1086239.3370882221,1166895.4325961093,1182698.052543466,1186648.707530305,1066075.3132112504
2031-06-01,1080728.3081140972,1182048.3943333046,1188861.9721730477,1190565.3666329836,1055398.2865592954
2031-07-01,1070881.1265613637,1170697.5935239587,1178562.622734495,1180528.8800371292,1045927.0098207151
2031-08-01,1068269.8988942367,1189851.1867840837,1195172.8916172218,1196503.3178255062,1037874.5769217749
2031-09-01,1086135.5315191098,1201977.2899393432,1213367.339742984,1216214.852193894,1057175.0919140514
2031-10-01,1098052.095175718,1209153.6555613452,1228182.4435681405,1232939.6405698394,1070276.7050793113
2031-11-01,1100522.4147014061,1213767.81149043,1219586.7049049947,1221041.4282586358,1072211.0655041502
2031-12-01,1100173.5077745072,1191549.0534868652,1203662.495600904,1206690.8561294137,1077329.6213464176
2032-01-01,1104658.792108205,1194362.1323443067,1200730.7840694233,1202322.9470007024,1082232.9570491794
2032-02-01,1100340.4740965255,1183875.2020776484,1212272.086371626,1219371.3074451205,1079456.7921012447
2032-03-01,1107328.8004058748,1208449.4995003822,1210759.5081931066,1211337.0103662878,1082048.6256322481
2032-04-01,1111547.3085646434,1206679.2792783272,1226643.270067374,1231634.2677646356,1087764.3158862225
2032-05-01,1101096.1144491406,1200183.249331926,1231607.8927784222,1239464.0536400462,1076324.3307284443
2032-06-01,1112879.353199175,1201200.7830204347,1233682.6416170322,1241803.1062661817,1090798.9957438603
2032-07-01,1109474.527048984,1184481.447984763,1232703.5426460283,1244759.0663113447,1090722.7968150394
2032-08-01,1116920.4884031748,1191558.8076380452,1256977.8060867584,1273332.5556989368,1098260.9085944572
2032-09-01,1096855.1021544496,1166934.2302518468,1262923.0367187334,1286920.238335455,1079335.3201301002
2032-10-01,1104359.0987111712,1156939.2814298768,1249035.6995768698,1272059.804113618,1091214.0530314948
2032-11-01,1114916.1733271568,1153196.8983500453,1247373.831722483,1270918.0650655925,1105345.9920714346
2032-12-01,1112355.1720890119,1153130.3660015452,1262527.1729834315,1289876.3747289032,1102161.3736108786
2033-01-01,1121131.9336820422,1147472.2263763915,1252048.9890264738,1278193.1796889943,1114546.8605084547
2033-02-01,1126590.0458363544,1175383.0608186882,1251750.924614477,1270842.8905634242,1114391.7920907708
2033-03-01,1129739.402406764,1177957.2475325393,1269670.2834585912,1292598.5424401043,1117684.94112532
2033-04-01,1147535.3948150757,1199589.851733183,1286675.843830765,1308447.3418551604,1134521.7805855488
2033-05-01,1154623.8881277018,1215450.6415558457,1283894.9755730731,1301006.05907738,1139417.1997706657
2033-06-01,1183490.2472884792,1236441.4700058906,1302212.1564507147,1318654.8280619208,1170252.4416091265
2033-07-01,1185988.9469718905,1248331.1626777372,1306706.7811024238,1321300.6857085954,1170403.393045429
2033-08-01,1184636.8594650417,1245689.8650773899,1290829.8656058556,1302114.865737972,1169373.6080619546
2033-09-01,1197118.1028425456,1245743.681822953,1275826.9823735056,1283347.8075111436,1184961.7080974437
2033-10-01,1197772.2488164338,1258454.5164699927,1271422.3546055725,1274664.3141394674,1182601.681903044
2033-11-01,1209585.497615155,1271013.6673022963,1271524.1255016113,1271651.74005144,1194228.4551933696
2033-12-01,1207385.6373383596,1264501.3499213303,1270104.6194271145,1271505.4368035605,1193106.7091926169
2034-01-01,1193999.08462028,1273583.9588876881,1273748.2358936877,1273789.3051451875,1174102.866053428
