,Bear_10th,Base_50th,Bull_90th,Absolute_Max,Absolute_Min
2025-04-01,1076948.2025625682,1079453.888329371,1079487.4264482886,1079495.810978018,1076321.7811208675
2025-05-01,1077383.8614795639,1079391.5135267607,1082154.0930719478,1082844.7379582445,1076881.9484677645
2025-06-01,1083011.2985791932,1085051.5002188648,1085767.3647675167,1085946.3309046796,1082501.2481692752
2025-07-01,1067798.6427198213,1080291.7404212565,1088838.4188729096,1090975.088485823,1064675.3682944626
2025-08-01,1058015.6565675682,1079127.3449930192,1082161.0064458763,1082919.4218090905,1052737.7344612055
2025-09-01,1067902.4142843704,1070743.2986644378,1074304.7430303101,1075195.1041217782,1067192.1931893534
2025-10-01,1049969.589937214,1055415.8994847185,1087586.6807197279,1095629.3760284802,1048608.012550338
2025-11-01,1047524.1559415362,1051620.545735681,1098906.373784108,1110727.830796215,1046500.058493
2025-12-01,1027030.7300363225,1043054.6333244017,1083627.383010986,1093770.5704326322,1023024.7542143026
2026-01-01,1035190.912604384,1055058.7882362423,1096490.60759114,1106848.5624298644,1030223.9436964195
2026-02-01,1010760.4671017297,1027471.3678480266,1073904.5867099368,1085512.8914254145,1006582.7419151554
2026-03-01,1007365.0823175509,1039103.2008281427,1079080.395679647,1089074.6943925233,999430.552689903
2026-04-01,999824.9105817404,1042252.8030014569,1077154.4001350803,1085879.7994184862,989217.9374768113
2026-05-01,997836.0256079801,1045491.0036876879,1081706.3480558498,1090760.1841478902,985922.2810880531
2026-06-01,1008612.3130848259,1053503.2533902791,1093652.3308165986,1103689.6001731786,997389.5780084626
2026-07-01,1012166.5701181492,1054132.2667085484,1086901.0197685414,1095093.2080335398,1001675.1459705493
2026-08-01,1003548.9550426421,1077020.0495221457,1096794.7030427218,1101738.3664228658,985181.1814227662
2026-09-01,1016424.7513844254,1071227.6554015954,1092176.6673838957,1097413.9203794708,1002724.025380133
2026-10-01,1035593.177826376,1064828.7408908461,1102506.9444114119,1111926.4952915534,1028284.2870602586
2026-11-01,1041763.5338600681,1072434.0069410042,1108818.5854359763,1117914.7300597192,1034095.915589834
2026-12-01,1042172.0755804637,1065362.9072417857,1110575.389751523,1121878.5103789575,1036374.3676651332
2027-01-01,1033204.7124934652,1048748.6454440888,1105148.7261418214,1119248.7463162544,1029318.7292558092
2027-02-01,1035391.8376156825,1037350.5041497838,1092031.2912336427,1105701.4880046074,1034902.1709821572
2027-03-01,1032671.9227004062,1033563.5060958972,1111398.048050821,1130856.6835395521,1032449.0268515334
2027-04-01,1016710.8568648518,1020063.212560706,1103708.408334444,1124619.7072778784,1015872.7679408883
2027-05-01,1018446.7384070327,1037507.4428653455,1103994.7026834546,1120616.5176379818,1013681.5622924545
2027-06-01,1024070.2448840953,1032353.2666194186,1107964.2060070245,1126866.940853926,1021999.4894502644
2027-07-01,1026660.643257497,1040350.1278845759,1117975.967387962,1137382.4272638084,1023238.2721007273
2027-08-01,1028682.7834374817,1031372.314477549,1125298.0170996343,1148779.4427551555,1028010.4006774649
2027-09-01,1022050.93179083,1027826.4994764832,1121380.9894726377,1144769.6119716763,1020607.0398694166
2027-10-01,1028792.2629558108,1037142.6025707122,1122019.5891491156,1143238.8357937164,1026704.6780520855
2027-11-01,1030354.6746844146,1038816.7294619326,1122253.26951766,1143112.4045315918,1028239.1609900352
2027-12-01,1030919.5032546907,1041901.4573073571,1117934.5053336222,1136942.7673401886,1028174.014741524
2028-01-01,1040206.8692723068,1047458.7860553125,1127513.7341536717,1147527.4711782616,1038393.8900765553
2028-02-01,1029280.5022108859,1046643.5256780725,1133081.8409565643,1154691.4197761873,1024939.7463440893
2028-03-01,1033926.335458216,1040095.3044924923,1117912.7397301232,1137367.0985395308,1032384.0931996469
2028-04-01,1036505.5218345635,1053706.2230798241,1145279.863335659,1168173.2733996178,1032205.3465232482
2028-05-01,1055338.8661000873,1063493.6787438584,1151673.2418014081,1173718.1325657957,1053300.1629391445
2028-06-01,1051024.5987693535,1055744.677235542,1156110.2108643744,1181201.5942715826,1049844.5791528064
2028-07-01,1039813.1158510308,1070329.5787521256,1146011.3976469892,1164931.852370705,1032184.0001257571
2028-08-01,1035490.1972854703,1047288.9193709189,1144192.495428459,1168418.389442844,1032540.5167641082
2028-09-01,1033266.4114708832,1042811.0580408486,1149662.0486439788,1176374.7962947614,1030880.2498283918
2028-10-01,1020456.35669895,1021238.4796051537,1150622.6021702094,1182968.6328114734,1020260.8259723991
2028-11-01,1022231.682237695,1032253.6414797535,1142231.547998248,1169726.0246278716,1019726.1924271804
2028-12-01,1006275.0979294239,1024791.7343815069,1149654.94234745,1180870.7443389357,1001645.9388164032
2029-01-01,1017439.2665643488,1019406.6400778946,1138791.6290856688,1168637.8763376125,1016947.4231859624
2029-02-01,1011221.4202480939,1032044.3729374461,1149752.2430588482,1179179.2105891986,1006015.6820757558
2029-03-01,1004664.382460927,1026864.4572194434,1140802.5613420387,1169287.0873726874,999114.363771298
2029-04-01,1012586.378781374,1031089.6798750767,1141915.1268800893,1169621.4886313425,1007960.5535079483
2029-05-01,998377.7013626324,1036166.3133901788,1140397.985453395,1166455.903469199,988930.5483557459
2029-06-01,996897.0373287385,1055678.8674847633,1139938.76160418,1161003.7351340344,982201.5797897324
2029-07-01,990005.016833024,1046169.8877139909,1133963.7810883885,1155912.2544319879,975963.7991127822
2029-08-01,990529.3463274111,1036706.6428369202,1137891.513639881,1163187.7313406214,978985.0222000339
2029-09-01,997847.8624550807,1032878.2026696752,1133948.163397415,1159215.65357935,989090.2774014322
2029-10-01,999289.0802758501,1058349.255352753,1126107.9661354322,1143047.6438311022,984524.0365066244
2029-11-01,1008643.8115972216,1055223.280962574,1121245.8699401102,1137751.5171844943,996998.9442558836
2029-12-01,1008889.3995595404,1053692.2775277905,1106806.515927173,1120085.0755270186,997688.6800674779
2030-01-01,1010858.328078036,1067168.0892623756,1102225.0830385447,1110989.3314825871,996780.8877819511
2030-02-01,1005425.268838241,1064544.0215923663,1104934.9299182913,1115032.6569997726,990645.5806497097
2030-03-01,1007473.9887222141,1051617.3366437103,1097725.3637619417,1109252.3705414995,996438.1517418401
2030-04-01,1006387.625663542,1058354.5011957148,1096851.8975775165,1106476.246672967,993395.9067804987
2030-05-01,1010342.1128796801,1055282.996091686,1084810.6453902044,1092192.557714834,999106.8920766787
2030-06-01,1022140.5114373374,1043613.8889265382,1083487.3376917802,1093455.6998830908,1016772.1670650372
2030-07-01,1024586.4563210312,1044559.394426923,1092288.5044459777,1104220.7819507413,1019593.2217945582
2030-08-01,1016675.128855462,1045710.132583137,1086024.4373224406,1096103.0135072665,1009416.3779235432
2030-09-01,1012016.1519030205,1040858.0066050504,1083344.7334274347,1093966.4151330306,1004805.688227513
2030-10-01,1023415.0881849267,1043380.6533636366,1088749.720429514,1100091.9871959835,1018423.6968902491
2030-11-01,1013280.815075304,1044299.236412399,1085981.387615583,1096401.925416379,1005526.2097410302
2030-12-01,1027497.2037963672,1074022.3588103887,1087597.45643511,1090991.2308412902,1015865.9150428618
2031-01-01,1014226.0186422227,1059796.6461623826,1097530.8940622045,1106964.45603716,1002833.3617621828
2031-02-01,1015346.0186573033,1080895.4064861494,1097087.426245521,1101135.431185364,998958.6717000918
2031-03-01,1015110.797928904,1081510.0786851642,1098984.601094872,1103353.231697299,998510.9777398389
2031-04-01,1012251.0470387833,1070349.0034477042,1096567.798075317,1103122.49673222,997726.557936553
2031-05-01,1033540.1899040508,1081807.4159671562,1099170.3918680346,1103511.1358432542,1021473.3833882745
2031-06-01,1020961.6187573818,1076752.704826782,1115473.0338427848,1125153.1160967855,1007013.8472400317
2031-07-01,1012365.3361611757,1065598.9287753133,1104883.8378778365,1114705.0651534672,999056.9380076414
2031-08-01,1007482.3035146273,1089017.6358231902,1112799.59837383,1118745.08901149,987098.4704374865
2031-09-01,1024601.2989577507,1097990.667278861,1132474.5877071128,1141095.5678141757,1006253.956877473
2031-10-01,1036952.2695185383,1113252.1996277946,1129321.192336372,1133338.4405135165,1017877.2869912242
2031-11-01,1032378.3480881585,1097986.4951461274,1133392.974791707,1142244.5947031018,1015976.3113236664
2031-12-01,1037084.7029655703,1103099.4204367844,1130485.5619266138,1137332.0972990713,1020581.0235977668
2032-01-01,1037347.4073540112,1103983.0808373115,1125033.3783919397,1130295.9527805967,1020688.4889831861
2032-02-01,1030805.9239655827,1093945.874159116,1134252.796792751,1144329.5274511597,1015020.9364171994
2032-03-01,1036482.384043352,1118875.4070008926,1137337.2279907365,1141952.6832381976,1015884.1283039668
2032-04-01,1042646.0330207791,1132860.3986828795,1145040.9159155309,1148086.0452236936,1020092.4416052541
2032-05-01,1036429.8643641914,1138439.5485424106,1145668.1864262773,1147475.3458972438,1010927.4433196366
2032-06-01,1044484.3849366406,1138700.2478089395,1144447.7207398342,1145884.5889725578,1020930.4192185659
2032-07-01,1041814.2749280568,1123207.6782764855,1136798.4343583682,1140196.1233788389,1021465.9240909496
2032-08-01,1047750.9683401354,1130643.577772914,1158753.073360728,1165780.4472576815,1027027.8159819407
2032-09-01,1036519.2365139117,1110140.3213915469,1162574.9507988982,1175683.608150736,1018113.9652945029
2032-10-01,1039966.2252481804,1098402.652919296,1160611.216860147,1176163.3578453597,1025357.1183304016
2032-11-01,1044331.384934808,1092889.7762222087,1156645.8289482614,1172584.8421297746,1032191.7871129578
2032-12-01,1040588.7342326087,1094462.818473101,1169155.6513870275,1187828.8596155092,1027120.2131724857
2033-01-01,1052797.175202569,1091610.113672902,1158694.4227196078,1175465.4999812844,1043093.9405849857
2033-02-01,1064348.1427040235,1115849.0075773064,1156158.488899348,1166235.8592298585,1051472.9264857029
2033-03-01,1064500.7948382823,1099837.5874784307,1168501.990865288,1185668.0917120024,1055666.596678245
2033-04-01,1077853.0850915418,1113541.7598095562,1179866.6621299188,1196447.8877100095,1068930.916412038
2033-05-01,1081938.0845416237,1121568.7176025996,1178412.918109299,1192623.9682359737,1072030.4262763797
2033-06-01,1106104.2873164688,1138772.8926049983,1192983.5668807866,1206536.2354497337,1097937.1359943363
