,iter_0,iter_1,iter_2
2025-04-01,1079495.810978018,1076321.7811208675,1079453.888329371
2025-05-01,1076881.9484677645,1082844.7379582445,1079391.5135267607
2025-06-01,1085946.3309046796,1082501.2481692752,1085051.5002188648
2025-07-01,1064675.3682944626,1080291.7404212565,1090975.088485823
2025-08-01,1052737.7344612055,1082919.4218090905,1079127.3449930192
2025-09-01,1067192.1931893534,1075195.1041217782,1070743.2986644378
2025-10-01,1048608.012550338,1055415.8994847185,1095629.3760284802
2025-11-01,1046500.058493,1051620.545735681,1110727.830796215
2025-12-01,1023024.7542143026,1043054.6333244017,1093770.5704326322
2026-01-01,1030223.9436964195,1055058.7882362423,1106848.5624298644
2026-02-01,1006582.7419151554,1027471.3678480266,1085512.8914254145
2026-03-01,999430.552689903,1039103.2008281427,1089074.6943925233
2026-04-01,989217.9374768113,1042252.8030014569,1085879.7994184862
2026-05-01,985922.2810880531,1045491.0036876879,1090760.1841478902
2026-06-01,997389.5780084626,1053503.2533902791,1103689.6001731786
2026-07-01,1001675.1459705493,1054132.2667085484,1095093.2080335398
2026-08-01,985181.1814227662,1077020.0495221457,1101738.3664228658
2026-09-01,1002724.025380133,1071227.6554015954,1097413.9203794708
2026-10-01,1028284.2870602586,1064828.7408908461,1111926.4952915534
2026-11-01,1034095.915589834,1072434.0069410042,1117914.7300597192
2026-12-01,1036374.3676651332,1065362.9072417857,1121878.5103789575
2027-01-01,1029318.7292558092,1048748.6454440888,1119248.7463162544
2027-02-01,1034902.1709821572,1037350.5041497838,1105701.4880046074
2027-03-01,1033563.5060958972,1032449.0268515334,1130856.6835395521
2027-04-01,1020063.212560706,1015872.7679408883,1124619.7072778784
2027-05-01,1013681.5622924545,1037507.4428653455,1120616.5176379818
2027-06-01,1032353.2666194186,1021999.4894502644,1126866.940853926
2027-07-01,1040350.1278845759,1023238.2721007273,1137382.4272638084
2027-08-01,1031372.314477549,1028010.4006774649,1148779.4427551555
2027-09-01,1020607.0398694166,1027826.4994764832,1144769.6119716763
2027-10-01,1026704.6780520855,1037142.6025707122,1143238.8357937164
2027-11-01,1028239.1609900352,1038816.7294619326,1143112.4045315918
2027-12-01,1028174.014741524,1041901.4573073571,1136942.7673401886
2028-01-01,1047458.7860553125,1038393.8900765553,1147527.4711782616
2028-02-01,1024939.7463440893,1046643.5256780725,1154691.4197761873
2028-03-01,1040095.3044924923,1032384.0931996469,1137367.0985395308
2028-04-01,1053706.2230798241,1032205.3465232482,1168173.2733996178
2028-05-01,1063493.6787438584,1053300.1629391445,1173718.1325657957
