,iter_0,iter_1,iter_2
2025-04-01,1100044.0081491652,1093832.0820437316,1094304.2035518708
2025-05-01,1105666.3796450528,1099030.3533049151,1102227.5617355325
2025-06-01,1109266.4499448065,1095170.3763908749,1105107.843670832
2025-07-01,1087894.0313992773,1100402.4811877392,1099286.956018687
2025-08-01,1085537.3113226593,1093160.0402057457,1105027.9360413926
2025-09-01,1102024.3115734225,1105760.7764306471,1108795.71821078
2025-10-01,1104131.5417819887,1118725.7242062716,1113486.4331499038
2025-11-01,1101672.753012632,1113256.3060217893,1103678.9704468416
2025-12-01,1101135.0599944787,1106354.4123315415,1111518.1037152666
2026-01-01,1106527.9090891345,1110067.9996861867,1126665.6244042432
2026-02-01,1111450.9953354073,1116494.185934097,1139022.5073197428
2026-03-01,1112452.0385465457,1117487.1191960813,1146632.1570296427
2026-04-01,1115857.0325070976,1126575.1613266855,1153561.5879213633
2026-05-01,1125164.9816118246,1128096.457026185,1151582.9006347442
2026-06-01,1137132.752096114,1125385.43311859,1160114.7939164406
2026-07-01,1139928.595861933,1127609.2373399343,1167072.912683317
2026-08-01,1146458.8541046167,1115936.2931445206,1170037.6733264488
2026-09-01,1144024.9187396942,1119122.1927588063,1174788.0784568156
2026-10-01,1150487.333718056,1118498.442488728,1182452.0811414532
2026-11-01,1148468.1466783916,1120144.4200445488,1179904.3719553608
2026-12-01,1159264.2108819615,1123128.3859919296,1181382.01374792
2027-01-01,1161684.1557944913,1128438.4344197244,1183291.795771216
2027-02-01,1164207.6582208679,1136175.273174714,1184885.9039538102
2027-03-01,1169974.6669156137,1141632.427160625,1197054.8306850968
2027-04-01,1176774.2949980306,1142142.53874893,1204936.222399029
2027-05-01,1182564.6783277807,1141013.0788914985,1207638.8119933023
2027-06-01,1191149.5062241403,1149139.5412499898,1210817.5837853027
2027-07-01,1197006.57969243,1158825.5295959774,1216362.1634639124
2027-08-01,1203901.25454662,1161273.4015552723,1218763.090970469
2027-09-01,1207532.7834760796,1169209.0325586034,1224832.382738154
2027-10-01,1215762.5646770198,1175550.9739956886,1228985.4737568568
2027-11-01,1230451.531792711,1179558.0531858653,1227608.3535211273
2027-12-01,1232108.2843325976,1185506.8600212445,1224299.059163976
2028-01-01,1230953.6350346936,1183955.5650458327,1227332.5879703062
2028-02-01,1232892.8448570925,1194132.2528554364,1236419.3025426264
2028-03-01,1233782.1388000606,1203318.926669069,1242766.2528364882
2028-04-01,1230976.6524124197,1203166.2181043641,1247632.3885317892
2028-05-01,1240262.15037731,1211845.6993721842,1244641.032267619
2028-06-01,1239312.8690877135,1209252.1307784917,1237783.856652549
2028-07-01,1240239.663771667,1216225.2591833933,1246275.970660368
2028-08-01,1250935.1284000503,1220500.650506211,1255653.4108053131
2028-09-01,1258656.700385101,1223130.2656877972,1264751.6673883134
2028-10-01,1261650.5414496022,1227785.4066121976,1272767.4912625616
2028-11-01,1262065.9925551221,1235551.1287475787,1268264.5292097693
2028-12-01,1266847.3025142595,1232449.3613818055,1268880.6857182318
2029-01-01,1263044.9832682007,1241167.0162759363,1269400.3862644671
2029-02-01,1266183.5520323543,1247170.1892416314,1275834.4322569498
2029-03-01,1268582.6121966979,1258568.4461466747,1280385.5647999938
2029-04-01,1270988.6326983757,1269547.9188657678,1292164.0577269648
2029-05-01,1275581.5177601813,1276483.054348149,1312234.2706994778
2029-06-01,1288426.7433280626,1278601.5369840593,1309177.2705824864
2029-07-01,1296761.2453663154,1285498.0161788992,1313605.7424454794
2029-08-01,1301546.1177623032,1301801.0697631412,1318075.9289165367
2029-09-01,1307724.183814072,1303800.3208433525,1316239.5407088497
2029-10-01,1310859.7611136953,1307448.5466461692,1320096.99444914
2029-11-01,1310344.5535729576,1305716.7402440256,1322936.774395195
2029-12-01,1326315.206115697,1305662.042136318,1327217.7602514497
2030-01-01,1330206.174131874,1308539.4507173349,1332856.1019433576
2030-02-01,1332384.6905778858,1308261.1128854826,1341776.5060562675
2030-03-01,1332588.7094607337,1322126.2471939041,1334048.5244751957
2030-04-01,1332075.7921719635,1327694.9357412413,1331518.0940328895
2030-05-01,1338606.9093289988,1331460.734623176,1343530.7871604858
2030-06-01,1346632.2647842825,1334308.0241144283,1352052.2112321747
2030-07-01,1358028.052791488,1337313.4963626752,1345642.3784795785
2030-08-01,1378232.942053448,1358577.1647699277,1340173.0713656005
2030-09-01,1392368.8070442895,1358246.9986347554,1344817.6937575839
2030-10-01,1391701.9449079453,1364848.104174425,1347820.531475726
2030-11-01,1398950.3583438853,1384943.4578107425,1334170.1886995886
2030-12-01,1416866.1610309763,1401605.9761532662,1339045.3925057221
2031-01-01,1418111.6100057126,1408526.3260676747,1351623.9409169047
2031-02-01,1420005.5958467962,1405376.6817975456,1354863.7289511682
2031-03-01,1412161.4852394422,1418718.1806995221,1358721.4366424289
2031-04-01,1416886.6924948264,1434161.6951713788,1357061.5269723325
2031-05-01,1430637.8028884016,1436233.1936571333,1357923.800987108
2031-06-01,1446831.4944935853,1432936.4015822916,1361749.7761043494
