,Bear_10th,Base_50th,Bull_90th,Absolute_Max,Absolute_Min
2025-04-01,1093926.5063453594,1094304.2035518708,1098896.0472297063,1100044.0081491652,1093832.0820437316
2025-05-01,1099669.7949910385,1102227.5617355325,1104978.6160631487,1105666.3796450528,1099030.3533049151
2025-06-01,1097157.8698468662,1105107.843670832,1108434.7286900117,1109266.4499448065,1095170.3763908749
2025-07-01,1090172.6163231593,1099286.956018687,1100179.3761539287,1100402.4811877392,1087894.0313992773
2025-08-01,1087061.8570992765,1093160.0402057457,1102654.3568742631,1105027.9360413926,1085537.3113226593
2025-09-01,1102771.6045448675,1105760.7764306471,1108188.7298547535,1108795.71821078,1102024.3115734225
2025-10-01,1106002.5200555718,1113486.4331499038,1117677.865994998,1118725.7242062716,1104131.5417819887
2025-11-01,1102073.996499474,1103678.9704468416,1111340.8389067997,1113256.3060217893,1101672.753012632
2025-12-01,1102178.9304618912,1106354.4123315415,1110485.3654385216,1111518.1037152666,1101135.0599944787
2026-01-01,1107235.927208545,1110067.9996861867,1123346.0994606318,1126665.6244042432,1106527.9090891345
2026-02-01,1112459.6334551452,1116494.185934097,1134516.8430426137,1139022.5073197428,1111450.9953354073
2026-03-01,1113459.054676453,1117487.1191960813,1140803.1494629304,1146632.1570296427,1112452.0385465457
2026-04-01,1118000.6582710152,1126575.1613266855,1148164.3026024278,1153561.5879213633,1115857.0325070976
2026-05-01,1125751.2766946966,1128096.457026185,1146885.6119130324,1151582.9006347442,1125164.9816118246
2026-06-01,1127734.8969140947,1137132.752096114,1155518.3855523753,1160114.7939164406,1125385.43311859
2026-07-01,1130073.1090443342,1139928.595861933,1161644.0493190403,1167072.912683317,1127609.2373399343
2026-08-01,1122040.8053365399,1146458.8541046167,1165321.9094820824,1170037.6733264488,1115936.2931445206
2026-09-01,1124102.737954984,1144024.9187396942,1168635.4465133913,1174788.0784568156,1119122.1927588063
2026-10-01,1124896.2207345937,1150487.333718056,1176059.1316567739,1182452.0811414532,1118498.442488728
2026-11-01,1125809.1653713174,1148468.1466783916,1173617.126899967,1179904.3719553608,1120144.4200445488
2026-12-01,1130355.550969936,1159264.2108819615,1176958.4531747284,1181382.01374792,1123128.3859919296
2027-01-01,1135087.5786946777,1161684.1557944913,1178970.267775871,1183291.795771216,1128438.4344197244
2027-02-01,1141781.7501839448,1164207.6582208679,1180750.2548072217,1184885.9039538102,1136175.273174714
2027-03-01,1147300.8751116227,1169974.6669156137,1191638.7979312001,1197054.8306850968,1141632.427160625
2027-04-01,1149068.88999875,1176774.2949980306,1199303.8369188292,1204936.222399029,1142142.53874893
2027-05-01,1149323.398778755,1182564.6783277807,1202623.985260198,1207638.8119933023,1141013.0788914985
2027-06-01,1157541.5342448198,1191149.5062241403,1206883.9682730702,1210817.5837853027,1149139.5412499898
2027-07-01,1166461.7396152678,1197006.57969243,1212491.046709616,1216362.1634639124,1158825.5295959774
2027-08-01,1169798.9721535419,1203901.25454662,1215790.723685699,1218763.090970469,1161273.4015552723
2027-09-01,1176873.7827420987,1207532.7834760796,1221372.462885739,1224832.382738154,1169209.0325586034
2027-10-01,1183593.2921319548,1215762.5646770198,1226340.8919408894,1228985.4737568568,1175550.9739956886
2027-11-01,1189168.1132529178,1227608.3535211273,1229882.8961383943,1230451.531792711,1179558.0531858653
2027-12-01,1193265.2998497908,1224299.059163976,1230546.4392988733,1232108.2843325976,1185506.8600212445
2028-01-01,1192630.9696307273,1227332.5879703062,1230229.4256218162,1230953.6350346936,1183955.5650458327
2028-02-01,1201884.3712557675,1232892.8448570925,1235714.0110055197,1236419.3025426264,1194132.2528554364
2028-03-01,1209411.5690952674,1233782.1388000606,1240969.4300292027,1242766.2528364882,1203318.926669069
2028-04-01,1208728.3049659752,1230976.6524124197,1244301.2413079152,1247632.3885317892,1203166.2181043641
2028-05-01,1217528.9895732093,1240262.15037731,1243765.255889557,1244641.032267619,1211845.6993721842
2028-06-01,1214958.4759533033,1237783.856652549,1239007.0666006806,1239312.8690877135,1209252.1307784917
2028-07-01,1221028.1401010482,1240239.663771667,1245068.7092826278,1246275.970660368,1216225.2591833933
2028-08-01,1226587.5460849789,1250935.1284000503,1254709.7543242606,1255653.4108053131,1220500.650506211
2028-09-01,1230235.552627258,1258656.700385101,1263532.673987671,1264751.6673883134,1223130.2656877972
2028-10-01,1234558.4335796786,1261650.5414496022,1270544.1012999697,1272767.4912625616,1227785.4066121976
2028-11-01,1240854.1015090875,1262065.9925551221,1267024.82187884,1268264.5292097693,1235551.1287475787
2028-12-01,1239328.9496082964,1266847.3025142595,1268474.0090774375,1268880.6857182318,1232449.3613818055
2029-01-01,1245542.6096743892,1263044.9832682007,1268129.3056652138,1269400.3862644671,1241167.0162759363
2029-02-01,1250972.861799776,1266183.5520323543,1273904.2562120308,1275834.4322569498,1247170.1892416314
2029-03-01,1260571.2793566794,1268582.6121966979,1278024.9742793345,1280385.5647999938,1258568.4461466747
2029-04-01,1269836.0616322893,1270988.6326983757,1287928.972721247,1292164.0577269648,1269547.9188657678
2029-05-01,1275761.825077775,1276483.054348149,1305084.0274292121,1312234.2706994778,1275581.5177601813
2029-06-01,1280566.5782528599,1288426.7433280626,1305027.1651316017,1309177.2705824864,1278601.5369840593
2029-07-01,1287750.6620163824,1296761.2453663154,1310236.8430296467,1313605.7424454794,1285498.0161788992
2029-08-01,1301597.1081624709,1301801.0697631412,1314820.9570858576,1318075.9289165367,1301546.1177623032
2029-09-01,1304585.0934374963,1307724.183814072,1314536.469329894,1316239.5407088497,1303800.3208433525
2029-10-01,1308130.7895396743,1310859.7611136953,1318249.5477820511,1320096.99444914,1307448.5466461692
2029-11-01,1306642.302909812,1310344.5535729576,1320418.3302307476,1322936.774395195,1305716.7402440256
2029-12-01,1309792.674932194,1326315.206115697,1327037.2494242992,1327217.7602514497,1305662.042136318
2030-01-01,1312872.7954002428,1330206.174131874,1332326.1163810608,1332856.1019433576,1308539.4507173349
2030-02-01,1313085.8284239632,1332384.6905778858,1339898.1429605912,1341776.5060562675,1308261.1128854826
2030-03-01,1324218.73964727,1332588.7094607337,1333756.5614723032,1334048.5244751957,1322126.2471939041
2030-04-01,1328459.567399571,1331518.0940328895,1331964.2525441486,1332075.7921719635,1327694.9357412413
2030-05-01,1332889.9695643405,1338606.9093289988,1342546.0115941884,1343530.7871604858,1331460.734623176
2030-06-01,1336772.872248399,1346632.2647842825,1350968.2219425961,1352052.2112321747,1334308.0241144283
2030-07-01,1338979.272786056,1345642.3784795785,1355550.917929106,1358028.052791488,1337313.4963626752
2030-08-01,1343853.890046466,1358577.1647699277,1374301.7865967439,1378232.942053448,1340173.0713656005
2030-09-01,1347503.5547330182,1358246.9986347554,1385544.4453623828,1392368.8070442895,1344817.6937575839
2030-10-01,1351226.0460154659,1364848.104174425,1386331.1767612412,1391701.9449079453,1347820.531475726
2030-11-01,1344324.8425218195,1384943.4578107425,1396148.9782372566,1398950.3583438853,1334170.1886995886
2030-12-01,1351557.509235231,1401605.9761532662,1413814.1240554343,1416866.1610309763,1339045.3925057221
2031-01-01,1363004.4179470588,1408526.3260676747,1416194.553218105,1418111.6100057126,1351623.9409169047
2031-02-01,1364966.3195204437,1405376.6817975456,1417079.813036946,1420005.5958467962,1354863.7289511682
2031-03-01,1369409.4463618316,1412161.4852394422,1417406.8416075062,1418718.1806995221,1358721.4366424289
2031-04-01,1369026.5600768314,1416886.6924948264,1430706.6946360683,1434161.6951713788,1357061.5269723325
2031-05-01,1372466.6013673667,1430637.8028884016,1435114.1155033868,1436233.1936571333,1357923.800987108
2031-06-01,1375987.1011999378,1432936.4015822916,1444052.4759113265,1446831.4944935853,1361749.7761043494
2031-07-01,1364305.6286269145,1425462.4139948564,1447468.7112819094,1452970.2856036727,1349016.432284929
2031-08-01,1358178.3555901796,1412618.06613534,1452279.9920731466,1462195.4735575984,1344568.4279538894
2031-09-01,1366570.1785901375,1403945.6543789168,1461050.04895855,1475326.1476034583,1357226.3096429426
2031-10-01,1371149.8343883296,1411779.1795822498,1466271.6738510407,1479894.7974182384,1360992.4980898495
2031-11-01,1373120.3069747975,1423317.5175860745,1465396.5646345937,1475916.3263967235,1360571.0043219782
2031-12-01,1372151.6208058563,1434417.083278975,1466761.2136880066,1474847.2462902647,1356585.2551875766
2032-01-01,1383118.5683973217,1451984.6112984295,1465572.7494060476,1468969.7839329522,1365902.0576720447
2032-02-01,1389566.020911082,1463605.226015711,1466224.6364864819,1466879.4891041745,1371056.2196349248
2032-03-01,1389969.2908015258,1460438.6934169328,1474286.1227158203,1477747.980040542,1372351.9401476742
2032-04-01,1394232.4733503093,1471160.9273289153,1484567.6438949245,1487919.323036427,1375000.3598556577
2032-05-01,1396766.0234364597,1479926.8315572836,1489922.381825803,1492421.269392933,1375975.8214062536
2032-06-01,1405517.3021405304,1490249.3139503677,1496197.0755762141,1497684.0159826756,1384334.2991880712
2032-07-01,1407693.9221167832,1489210.6004602448,1495122.9670429574,1496601.0586886355,1387314.7525309178
2032-08-01,1412956.4305439286,1483868.924169589,1498506.4276211148,1502165.8034839963,1395228.3071375135
2032-09-01,1416604.832051634,1481991.2411821415,1506395.3552060327,1512496.3837120056,1400258.2297690073
2032-10-01,1424909.2963344485,1499535.4355931527,1514763.3414176507,1518570.3178737753,1406252.7615197725
2032-11-01,1434935.2413111024,1515867.4275823722,1525957.3219593072,1528479.795553541,1414702.194743285
2032-12-01,1450668.0690870117,1529905.4129643063,1539091.56272944,1541388.1001707234,1430858.733117688
2033-01-01,1458445.3126417936,1539603.936248176,1547337.486848366,1549270.8744984134,1438155.656740198
2033-02-01,1470455.9848336494,1546995.6522259086,1560284.7852713868,1563607.0685327565,1451321.0679855845
2033-03-01,1481873.078315992,1546907.2513219444,1567297.018577093,1572394.4603908802,1465614.5350645038
2033-04-01,1494076.2838948793,1567779.9757419769,1585728.4371402897,1590215.552489868,1475650.3609331048
2033-05-01,1503912.2032389643,1573805.7029280958,1598890.698097488,1605161.9468898359,1486438.8283166816
2033-06-01,1515654.1518596595,1585661.1003281141,1618455.1136518738,1626653.6169828137,1498152.4147425457
2033-07-01,1514970.3908493922,1589524.6226532261,1615614.4845582854,1622136.9500345504,1496331.8328984336
2033-08-01,1519959.850452849,1596244.609942313,1608493.2270774061,1611555.3813611795,1500888.6605804828
2033-09-01,1519765.3608051417,1607204.6770537717,1611373.417029694,1612415.6020236744,1497905.5317429842
2033-10-01,1524480.4717705112,1612353.1767915157,1616282.743704409,1617265.1354326324,1502512.2955152602
2033-11-01,1536137.6079207899,1633644.481681665,1639711.7192147202,1641228.528597984,1511760.889480571
2033-12-01,1544948.7242025475,1636840.462067106,1649310.9201692434,1652428.5346947778,1521975.7897364078
2034-01-01,1559201.3297274956,1647662.536975548,1663335.4297240598,1667253.6529111878,1537086.0279154824
2034-02-01,1567305.5413013923,1647073.7510115793,1674155.4932429446,1680925.928800786,1547363.4888738454
2034-03-01,1577278.2230773943,1665470.72801623,1685841.2853666295,1690933.9247042295,1555230.0968426855
2034-04-01,1582761.6540342553,1668229.8788387694,1686946.09141843,1691625.144563345,1561394.5978331268
2034-05-01,1581145.5635974898,1679577.6894118306,1689294.6092981289,1691723.8392697035,1556537.5321439046
2034-06-01,1588943.022380511,1701445.9965730128,1706140.536009557,1707314.1708686932,1560817.2788323855
2034-07-01,1590128.8380747114,1709248.8162419877,1710230.6474256138,1710476.1052215204,1560348.8435328922
2034-08-01,1589766.387538168,1705500.9574112878,1717181.7762677388,1720101.9809818515,1560832.7450698882
2034-09-01,1591332.0030009001,1699297.8170590291,1714256.5538265503,1717996.2380184305,1564340.549486368
2034-10-01,1599075.5612467432,1713257.1489217007,1715269.6123454247,1715772.7282013558,1570530.1643280038
2034-11-01,1599272.358955465,1730405.3414928801,1732449.3480965304,1732960.349747443,1566489.1133211113
2034-12-01,1602367.1075525796,1731068.7342055244,1747433.648091214,1751524.8765626363,1570191.7008893434
2035-01-01,1605180.6958162945,1742255.523426392,1764894.449489644,1770554.181005457,1570911.98891377
2035-02-01,1611721.9812483783,1751780.1519423726,1767369.0998111046,1771266.3367782875,1576707.4385748797
2035-03-01,1615063.2925372664,1759854.2116874221,1763745.191728252,1764717.9367384594,1578865.5627497274
2035-04-01,1622737.9869968393,1761017.574960542,1762385.4535220193,1762727.4231623886,1588168.0900059137
2035-05-01,1630042.55166383,1762604.9377316574,1764836.9467893406,1765394.9490537613,1596901.9551468731
2035-06-01,1628789.6097565854,1765669.6205754632,1768640.0793275768,1769382.6940156051,1594569.607051866
2035-07-01,1640159.4924327077,1774988.9948681241,1779808.5156838128,1781013.395887735,1606452.1168238535
2035-08-01,1644354.3424520832,1786424.1406010082,1790905.9049923648,1792026.3460902038,1608836.8929148521
2035-09-01,1649995.6398523308,1794000.726994516,1801488.9396626393,1803360.9928296702,1613994.3680667845
2035-10-01,1659468.7216283104,1797196.8165260337,1813300.7398235996,1817326.720647991,1625036.6979038797
2035-11-01,1674415.3778784706,1811029.0471223025,1822448.6294625048,1825303.5250475553,1640261.9605675125
2035-12-01,1679817.13827004,1817958.684355649,1830426.9043057887,1833543.9592933236,1645281.7517486378
2036-01-01,1685369.7594873214,1823956.1306267749,1842992.3314065218,1847751.3816014586,1650723.166702458
2036-02-01,1695402.965640942,1822134.500740501,1842015.3849867382,1846985.6060482976,1663720.0818660525
2036-03-01,1708863.9681407402,1822738.5297504647,1843748.1811247678,1849000.5939683435,1680395.327738309
2036-04-01,1723270.6692792417,1825502.947745364,1846654.8512075203,1851942.8270730595,1697712.5996627111
2036-05-01,1735649.1916554754,1832206.4167491535,1839395.2852583693,1841192.502385673,1711509.8853820558
2036-06-01,1737580.6110742835,1839115.8276672838,1853038.3494735183,1856518.979925077,1712196.8069260335
2036-07-01,1734346.7447951213,1842433.3323704714,1872570.549643463,1880104.8539617108,1707325.0979012838
2036-08-01,1743792.2219854142,1852127.5154281978,1882428.390912154,1890003.609783143,1716708.3986247182
2036-09-01,1744623.2452138925,1851229.0915025652,1887399.7903246435,1896442.465030163,1717971.7836417244
2036-10-01,1747159.3113097867,1848884.5242559486,1891377.1024686734,1902000.2470218546,1721728.0080732463
2036-11-01,1756818.688032024,1847448.4280671934,1881650.0854211638,1890200.4997596564,1734161.2530232316
2036-12-01,1760475.7510795954,1843023.6975283565,1873772.2560114705,1881459.395632249,1739838.7644674052
2037-01-01,1770276.9196860092,1850951.836530568,1890362.4639963927,1900215.1208628488,1750108.1904748695
2037-02-01,1770440.5310147807,1863371.6815064899,1909410.690968488,1920920.4433339876,1747207.7433918535
2037-03-01,1771251.3766046835,1869855.3087418487,1911764.826954957,1922242.2065082341,1746600.3935703922
2037-04-01,1782730.735371655,1870938.3851143378,1920788.4578733079,1933250.9760630503,1760678.8229359845
2037-05-01,1787938.5878158945,1864890.0530863532,1927275.4644456748,1942871.8172855051,1768700.7214982798
2037-06-01,1787519.5900367661,1853336.6915821806,1936179.4338873518,1956890.1194636445,1771065.3146504124
2037-07-01,1794078.6657023574,1853369.7867576259,1940649.743098439,1962469.7321836422,1779255.8854385403
2037-08-01,1790365.4662888586,1845484.1407549155,1935052.6225234556,1957444.7429655907,1776585.7976723444
2037-09-01,1795622.131999929,1835690.5921716844,1945338.5236175826,1972750.5064790573,1785605.0169569901
2037-10-01,1800014.9104081825,1833899.2350654432,1938716.9634591192,1964921.3955575381,1791543.8292438674
2037-11-01,1805787.960880754,1841287.4700817782,1939084.579502167,1963533.8568572642,1796913.0835804981
2037-12-01,1814569.9653657041,1842557.2710474196,1935259.7206956057,1958435.3331076524,1807573.1389452752
2038-01-01,1829122.5095948651,1851309.4627528358,1943400.0814115754,1966422.7360762602,1823575.7713053725
2038-02-01,1848341.4966157249,1855300.9782477785,1953238.6622339159,1977723.0832304503,1846601.6262077114
2038-03-01,1850117.5649662458,1852136.0606256078,1951291.3001029624,1976080.109972301,1849612.9410514054
2038-04-01,1854160.185438935,1882611.8385120179,1965011.0136720955,1985610.8074621148,1847047.2721706643
2038-05-01,1857655.618344287,1903249.1122921268,1981668.996078674,2001273.9670253107,1846257.2448573268
2038-06-01,1847984.3343211734,1928346.0528524285,2008533.7831164966,2028580.7156825135,1827893.9046883595
2038-07-01,1848317.1562506438,1954971.7360185413,2014235.4456018512,2029051.3729976786,1821653.5113086693
2038-08-01,1845007.889260073,1957887.145990129,2012871.1763204979,2026617.18390309,1816788.0750775589
2038-09-01,1839825.0634527558,1957089.7785487636,2022371.169641965,2038691.5174152656,1810508.8846787538
2038-10-01,1842433.7080397194,1947746.1176336734,2014167.1049245219,2030772.3517472341,1816105.605641231
2038-11-01,1848108.1204301512,1931985.1218793776,2009403.6560041986,2028758.289535404,1827138.8700678446
2038-12-01,1861966.3813010259,1935357.5763383044,2018158.9921062326,2038859.3460482147,1843618.5825417063
2039-01-01,1883983.9414021731,1956233.8833843255,2034709.3461051942,2054328.2117854115,1865921.455906635
2039-02-01,1884782.7107718627,1966888.4785237042,2037369.8610848992,2054990.2067251978,1864256.2688339022
2039-03-01,1887234.8980251316,1971430.3627235119,2045328.1512321185,2063802.5983592703,1866186.0318505366
2039-04-01,1902576.5017540094,1988160.3852104265,2065778.216516321,2085182.6743427946,1881180.530889905
2039-05-01,1898735.353976212,1994408.597150684,2077616.2853039464,2098418.207342262,1874817.043182594
2039-06-01,1895509.331496017,2019300.413650506,2094793.88824215,2113667.256890061,1864561.5609573948
2039-07-01,1899911.469416936,2035925.378736176,2116825.1416520197,2137050.0823809807,1865907.992087126
2039-08-01,1917399.4231207096,2049083.4629646973,2120153.5003910116,2137921.00974759,1884478.4131597127
2039-09-01,1925593.5533603334,2058378.3775924018,2141256.682203926,2161976.2583568073,1892397.3473023162
2039-10-01,1933541.1658234624,2052867.2627522913,2149088.4272491997,2173143.7183734267,1903709.6415912553
2039-11-01,1946510.5243780843,2065375.4541993493,2149377.1986917267,2170377.6348148207,1916794.291922768
2039-12-01,1948836.3939438644,2076027.81147534,2152440.9742355035,2171544.264925544,1917038.5395609955
