,Bear_10th,Base_50th,Bull_90th,Absolute_Max,Absolute_Min
2025-04-01,1099100.9273349443,1108741.7172211928,1114774.3380429198,1123305.18192873,1093842.1244995943
2025-05-01,1083318.9214402277,1102260.7514940738,1114722.2287933163,1120357.153672921,1078710.6212839405
2025-06-01,1084206.9549925171,1102902.3421326615,1113522.2180129737,1124843.9060241291,1053414.8780360909
2025-07-01,1070872.4647216944,1100239.8614251427,1115041.4302876878,1130603.7925927609,1028593.1604643269
2025-08-01,1062262.8867755819,1099634.7709502026,1124597.5638981927,1139591.651079524,1010270.4583324927
2025-09-01,1068460.7896044857,1103032.877816751,1134290.9016888603,1161064.628095934,1000975.6767385375
2025-10-01,1066726.5934094468,1102166.3128158008,1138646.0472667085,1162369.6132355533,987919.795876064
2025-11-01,1053701.5185651612,1098613.2034690897,1136543.2757604858,1162224.9075262514,983405.6488581825
2025-12-01,1050244.8422047198,1096387.0268849079,1138335.7959926524,1152676.6456646868,982281.6902985799
2026-01-01,1042008.4604086103,1098967.7713287738,1154471.2582175594,1166727.4612419412,985688.3292342654
2026-02-01,1049877.1665449643,1107720.3363499974,1166953.888112658,1193243.1749668536,983993.530765697
2026-03-01,1047713.1773383736,1101664.1328496558,1174344.271424572,1215141.2108296386,974760.739772552
2026-04-01,1064618.4634485093,1106668.9518813104,1183642.0243301557,1237929.7877285045,969558.867808997
2026-05-01,1068100.9631687412,1117534.8057710852,1205827.1185117536,1246842.633300169,973367.5431129073
2026-06-01,1047997.5327793435,1128215.3585003673,1205699.6725545789,1241969.5586668162,977786.9427667125
2026-07-01,1024473.8879157408,1132707.7229736387,1199617.9886406036,1224664.6574781118,985541.433309425
2026-08-01,1011476.374280705,1127497.7783170799,1197371.672969434,1222256.9866512616,981698.3337123428
2026-09-01,1020483.1968985882,1129891.740271642,1196509.004060233,1243063.3833627042,984693.3170884378
2026-10-01,1025958.3519591182,1137970.1464613988,1199175.8299951365,1276945.348912556,977184.4753876679
2026-11-01,1029435.0871112738,1140592.3572153063,1188006.6407469236,1301727.270354419,970944.202442557
2026-12-01,1022832.7355299483,1146541.1193654146,1192388.8031579994,1303594.682193678,966672.5877249142
2027-01-01,1030352.4286224324,1141886.9370872043,1200084.6497058587,1300382.9926378801,975692.7693987478
2027-02-01,1030941.2495687129,1144369.51783412,1223079.8139270507,1295406.8340721542,995160.124365793
