,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19
2025-04-01,1123529.8654327167,1113382.2053814796,1110950.7800158113,1105615.5372680186,1108942.5351532577,1095833.8715049624,1108493.0882470165,1109418.0710148865,1104008.6716494444,1118354.0012523006,1107040.7450056614,1102169.5506249624,1113500.4074040826,1106795.4091671112,1109754.0640897765,1114203.0263429272,1108984.4403286427,1114624.3500914122,1099708.2026148874,1094060.9148027967
2025-05-01,1117466.4415668494,1106806.3647948338,1101637.868891231,1104096.4544185768,1097028.7017899023,1079304.0753105427,1095811.928648249,1104856.9336601552,1084006.5166440797,1115098.7227723573,1098257.4418589426,1105921.9188535588,1120973.5195925299,1098904.6240540815,1106089.5910565658,1112586.505156186,1106913.8034925626,1099332.2460750563,1083090.4574937874,1090122.1060444154
2025-06-01,1113108.2391624488,1116716.274403564,1096434.3296996693,1108354.7467020918,1097217.0643298454,1075522.6479444972,1108084.5679384635,1102080.3516591664,1054482.000739807,1105958.840877898,1090717.4299311873,1106446.0731802983,1125983.3872439985,1107859.5192616163,1097191.148317689,1110478.8820515564,1114357.881315121,1095303.5924604696,1089608.1134296893,1086392.2285204185
2025-07-01,1097703.5143075553,1111745.3641046605,1107617.337515321,1113059.8347011122,1094941.305503702,1059313.2611926848,1116415.2958872826,1101966.529143895,1030198.3741637049,1110433.5409139374,1074013.7033587298,1112595.2249729126,1120077.8811990607,1100448.4567057963,1101652.1457550921,1108462.7425113996,1132368.2032132042,1079687.230345936,1088562.8263640602,1085240.5574292918
2025-08-01,1098714.7538205762,1093525.574164831,1116838.3661719544,1132190.3568059362,1085480.1892171686,1065509.325294482,1126302.3924602657,1110156.7185842178,1012464.6509869146,1104412.3906068744,1056318.9197430331,1113391.062456181,1121498.7022896663,1100401.9319425789,1112970.8771568374,1105537.2743787295,1142066.714671868,1068673.3047707095,1085229.871704688,1097743.4219688529
2025-09-01,1098267.094138783,1091307.5435850562,1124583.8933000115,1143296.5552620387,1094621.1360642947,1078186.3804311962,1139191.5807190603,1118784.6011893624,1003809.5876147901,1105537.290831345,1052703.0263788768,1107397.0647911339,1134297.374688259,1107271.5069607983,1126871.745306588,1101919.4687439215,1164351.7745811653,1072858.3215359147,1085659.3597569256,1113864.2571003505
2025-10-01,1091053.0668374526,1086944.67748211,1138918.7861230024,1142334.531400405,1082646.9345566584,1087803.3874074577,1143774.0764292877,1119464.0289011793,991403.7593278107,1113475.8358978536,1036574.1574291346,1099126.679139968,1140128.6398298838,1125597.551184828,1134107.1365719528,1092452.273587748,1166468.7853210166,1073541.50839605,1076831.9707824166,1125988.3771923112
2025-11-01,1081879.0532210167,1088533.6572788174,1141603.759553907,1135784.368954439,1072474.9883669904,1088310.8096716055,1143061.248856976,1108996.0528132406,987584.4085841245,1125326.8324305569,1015057.2795256589,1095106.0075768437,1127592.7955907732,1141906.9637317795,1131087.1256484583,1098830.7974395503,1166769.838996885,1077012.8378128055,1061472.0390047918,1108357.7210584963
2025-12-01,1072386.9948046554,1091356.7023261504,1132656.9251848431,1121492.5583966859,1060846.5625668166,1078671.5598404591,1145960.5488926976,1118331.548683817,988676.9052540045,1125039.378821399,1000768.6181870392,1097539.4459008859,1124878.3144088888,1154521.3553691902,1131503.394495872,1103426.363939964,1158159.9874132148,1073693.2010725357,1069622.7140316914,1099106.5042442863
2026-01-01,1087804.7711505783,1086607.954004498,1145933.3038517307,1118347.7483214766,1051873.2791150452,1076879.0368718558,1165458.5417076452,1131761.409756867,995426.346612756,1133625.2485586547,991692.3001286006,1099896.4401361332,1129346.3243076417,1173716.197035635,1134142.6117476278,1104496.3568915045,1165698.501509075,1063603.2370715472,1082250.2974294599,1103413.6268277043
2026-02-01,1095107.5501438587,1087997.3413589473,1155350.1370451984,1130275.0718069212,1061882.9354231642,1070281.7952840636,1178428.931909376,1148361.8244431342,997305.128648876,1132762.9942664658,992355.7066635893,1117384.2430423328,1152578.0836793156,1203755.1833633138,1147404.13282633,1111678.725985817,1186103.062601039,1062497.946808699,1089140.428348006,1110629.0146507754
2026-03-01,1092619.7520841244,1082384.7033895287,1167933.9755057388,1149529.4108992908,1069279.6926047204,1077410.7578958368,1188606.9145971846,1142808.9213695878,1008807.4980699798,1134755.2852364236,983806.272736582,1106741.1815690298,1150750.6326661957,1226704.7180671622,1163694.8316112072,1112522.9104079676,1192692.3845060016,1059653.895400038,1086285.6186185398,1103526.8301985112
2026-04-01,1103615.337518394,1090186.3520067355,1188561.3714928932,1179842.7136545791,1079775.623409337,1101229.6747273628,1204649.462763819,1149699.2322420087,1000864.122267207,1143253.7810498232,979320.6738814733,1102188.3613944147,1155978.3920043758,1250724.9380195823,1189371.8791878999,1115453.767585018,1188378.5956662018,1080343.2080247537,1093821.8387796415,1113630.026348424
2026-05-01,1113881.2027562102,1084602.5652138356,1210624.5843646051,1198761.943252499,1097747.296678513,1125289.3530717583,1202992.9920755834,1150587.2265370144,1007999.3112161887,1147129.1587995065,985170.7022742532,1109144.4692582756,1168544.32896886,1260720.122362137,1215916.0496790393,1129741.1286825214,1188217.3648216606,1084588.7420010765,1103749.870165376,1108085.5756229307
2026-06-01,1134550.041333171,1061963.8445597708,1209292.2609223272,1211411.78775394,1101841.9969303973,1134870.9943137667,1185609.6561258046,1160305.28951507,1017365.6586574493,1147976.6040675077,990425.135303308,1113806.2416497204,1170162.704429802,1256784.410043278,1218414.672737269,1142502.0794497936,1183040.3119786181,1085715.0465425276,1121950.353509239,1092079.899187284
2026-07-01,1152589.9080692318,1037169.6311364091,1204321.9722220812,1199823.8167843868,1105472.8374067387,1136608.236701078,1165744.6901376422,1159416.3977133366,1011367.1107870099,1140959.7132007685,1000262.2454480527,1105535.0635449707,1162745.760595594,1239542.4288895454,1211534.064329168,1146470.384344925,1183622.530345855,1083609.387470245,1131201.897365064,1076173.8105896162
2026-08-01,1164297.4520075934,1024346.6183379639,1202925.0463194642,1194931.133664899,1100499.7782732754,1139347.5455812684,1147872.516081687,1166707.9922097516,1003387.9405722275,1142450.2557212145,997153.1541900006,1087800.4386962203,1161676.1556509503,1239310.9194634524,1211365.5521531883,1130912.8164152177,1178240.260910612,1082830.4393290132,1134342.5853945634,1072280.8466925933
