,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19
2025-04-01,1123866.9749562459,1113716.2701503031,1111284.1152476,1105947.271686873,1109275.2678212076,1096162.6709838691,1108825.6860606675,1109750.946364996,1104339.9239362972,1118689.5577836384,1107372.907050978,1102500.251092739,1113834.5076388344,1107127.4976006348,1110087.0402529298,1114537.3373949798,1109317.1855700312,1114958.7875595528,1100038.1645674913,1094389.1823149016
2025-05-01,1118388.7317735401,1107719.8568094324,1102547.0951373214,1105007.7098346448,1097934.1239041456,1080194.8685743713,1096716.3465104534,1105768.8167304692,1084901.1910227465,1116019.0588050566,1099163.8781020134,1106834.6808991851,1121898.7043324246,1099811.594442768,1107002.491488836,1113504.7677541776,1107827.3841806597,1100239.5693974774,1083984.3758118267,1091021.8278661212
2025-06-01,1114800.056699422,1118413.5758073167,1098100.804496874,1110039.3393874096,1098884.7288084554,1077157.3389953654,1109007.0547470525,1103755.4078670815,1056456.436514287,1107639.792016644,1092375.2155902246,1108127.7648653134,1127694.773768561,1109543.3592488216,1098858.7734064516,1111567.0283521833,1116051.5981880566,1096710.2962697549,1091264.2130342703,1088043.440289029
2025-07-01,1100274.116661748,1115158.1341250103,1110211.1560630894,1115666.398490103,1097520.4346006038,1061793.9612428884,1118261.6659545796,1104547.1146272582,1032974.3550504564,1113049.1624168102,1076813.2361692595,1114962.295798103,1122700.8798510307,1102916.467606745,1104231.9950153595,1110222.0721080382,1134908.884410547,1081961.0602334177,1091112.023053027,1087781.974028063
2025-08-01,1102478.4866134338,1098196.4114009796,1120478.8101067003,1135880.8420563145,1088904.1201650328,1068982.4571980545,1129198.1223271752,1113456.2915555215,1016122.4111497132,1107703.2410854702,1060042.0722921004,1116781.4756434537,1125154.3370459934,1103748.7453641202,1116103.4354121017,1108305.8563025347,1145677.2398034541,1071904.5343143158,1088660.71180149,1101321.6240645677
2025-09-01,1103896.493873449,1096982.1456645352,1129337.0689327836,1148072.3697586993,1099062.1387518127,1082768.3784670122,1141023.7053485012,1123217.2418423037,1008430.3305997872,1109925.8128243966,1057456.0217562336,1111984.8501383055,1139117.8291450962,1111735.317503862,1131158.6827650615,1106940.4300232804,1169185.497687062,1077164.2235262084,1090454.4053134671,1118247.7050460475
2025-10-01,1097414.7073522399,1093733.2873860092,1144880.9105592726,1148299.7309946874,1089728.6298426643,1093562.7718266044,1146283.373973202,1125068.6215484343,997003.560496098,1118492.8899308192,1042337.6098279231,1104828.426363438,1146165.0607493909,1131008.0264206473,1139251.8952066593,1099735.4130552271,1172529.8826252676,1078971.5046778657,1082713.269365026,1131595.5812419383
2025-11-01,1089658.7437628242,1096221.9982935276,1148819.839735498,1142540.9927074148,1080109.9068090601,1095254.969241551,1146806.7099936607,1115752.4487286317,994235.6970521641,1131618.6194205226,1021803.9102242814,1101701.4684973506,1134705.6817908455,1148896.7777459624,1137410.4287396518,1107347.5320261659,1172536.1040257155,1083629.9340662593,1068422.5756304108,1115395.0962390983
2025-12-01,1081347.8848411753,1099512.4428719843,1141793.3283743118,1129102.3820366315,1068844.5630675512,1085388.7012393798,1150992.2859391149,1125201.8677012923,996438.109824836,1134885.7936786956,1007433.0951950983,1105045.5983013823,1133231.151261293,1164179.2206771716,1138935.760004473,1113078.426010873,1164861.084078299,1081489.5793405168,1077533.5947250908,1106567.8361733432
2026-01-01,1097856.3052292478,1095981.8589427741,1156485.6895608637,1127211.9922138234,1062060.2920142424,1083801.6494227448,1171240.04178903,1140286.6726508178,1004377.2718722227,1147240.8636996725,998896.5147748792,1108673.48981491,1139021.4635160402,1184194.9379167038,1144164.323990534,1115727.6839138633,1172945.8019802254,1071138.87053875,1091357.2588011704,1112162.9247494417
