,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40,iter_41,iter_42,iter_43,iter_44,iter_45,iter_46,iter_47,iter_48,iter_49,iter_50,iter_51,iter_52,iter_53,iter_54,iter_55,iter_56,iter_57,iter_58,iter_59,iter_60,iter_61,iter_62,iter_63,iter_64,iter_65,iter_66,iter_67,iter_68,iter_69,iter_70,iter_71,iter_72,iter_73,iter_74,iter_75,iter_76,iter_77,iter_78,iter_79,iter_80,iter_81,iter_82,iter_83,iter_84,iter_85,iter_86,iter_87,iter_88,iter_89,iter_90,iter_91,iter_92,iter_93,iter_94,iter_95,iter_96,iter_97,iter_98,iter_99
2025-04-01,1123866.9749562459,1113716.2701503031,1111284.1152476,1105947.271686873,1109275.2678212076,1096162.6709838691,1108825.6860606675,1109750.946364996,1104339.9239362972,1118689.5577836384,1107372.907050978,1102500.251092739,1113834.5076388344,1107127.4976006348,1110087.0402529298,1114537.3373949798,1109317.1855700312,1114958.7875595528,1100038.1645674913,1094389.1823149016,1102856.5436711179,1102922.8365286367,1119946.1480157608,1109999.8038589726,1111786.4512156348,1112295.1869255882,1104904.0477172513,1097365.6504245426,1117419.702598918,1107016.0686440205,1104234.7402727527,1120602.1866243116,1115371.3489283049,1098211.3733955636,1101335.7750210026,1103735.4325257207,1107491.6205574945,1105519.4289239,1115209.0309589475,1102186.5435247107,1116709.5193246407,1106904.3809987872,1121896.833015078,1111455.7802619548,1103880.1973203188,1102454.6237472962,1108435.1137204801,1102004.7755329204,1111250.0373670773,1120041.013824769,1117544.7586632334,1109339.0622380595,1099014.4232925056,1110355.1064880297,1110382.4458984346,1109403.1771218001,1107594.1716949278,1105711.6369318771,1106626.5574518843,1108536.1680803765,1109342.3004809385,1111663.0756403443,1121425.2316837173,1109253.6669721475,1111982.9692753765,1091964.924261268,1106483.957185215,1091246.9292377993,1102345.2253064264,1111176.4804379896,1114028.1863783083,1103799.3670829765,1105309.7781336445,1114874.7261299489,1103126.5469177675,1107302.2646482948,1100776.556634438,1093746.0120745993,1115912.1934313637,1119637.5098190545,1108059.7656102679,1110163.920800305,1115528.2453157862,1116891.534691521,1110313.1269662802,1111024.7571655202,1117321.1738046862,1119976.7515946021,1107708.0823957813,1099108.6006812642,1109896.046169889,1116317.8236613807,1108057.1371475975,1101701.9413684725,1106972.0268263232,1095006.1236121063,1105479.4669397245,1102566.4401353297,1106574.711857399,1109714.424338622
2025-05-01,1118388.7317735401,1107719.8568094324,1102547.0951373214,1105007.7098346448,1097934.1239041456,1080194.8685743713,1096716.3465104534,1105768.8167304692,1084901.1910227465,1116019.0588050566,1099163.8781020134,1106834.6808991851,1121898.7043324246,1099811.594442768,1107002.491488836,1113504.7677541776,1107827.3841806597,1100239.5693974774,1083984.3758118267,1091021.8278661212,1106358.5997842853,1093425.679132957,1130292.3600925996,1105660.6575736066,1120006.487589139,1111696.233763521,1100615.6693104843,1076676.3476427598,1115601.2624262236,1105590.5916332796,1101400.9821159057,1126586.612897861,1103975.816498287,1079629.2164018382,1088015.53943883,1102738.4236850177,1107885.2262145614,1083353.250109619,1111210.5477593557,1086751.1155109769,1125996.0280084661,1100402.9418091532,1141338.4039165552,1109156.7094979228,1110627.209846172,1083150.432762131,1091429.3117599683,1097647.9661765879,1109577.1420397104,1124458.9167427176,1121112.1525914038,1109797.7364142993,1089376.7378060892,1108158.3012231477,1116007.4344136845,1094091.103088989,1102382.6425710018,1099595.9623695302,1103988.6613615784,1103842.7334213278,1113050.8017881298,1104337.477699441,1135924.664189934,1106812.4558507458,1113964.8837285012,1075605.2483200955,1116573.3967132184,1076917.1065057942,1104535.671433484,1107855.4955434368,1112734.6266076255,1093016.2027054634,1102571.2085666875,1122028.8842156848,1088401.9661240312,1116320.7738051978,1091122.4461865663,1082940.7817926062,1135787.5109032225,1120400.889040533,1102755.978671169,1096961.8641030658,1118765.7053815073,1106637.171387906,1101494.0351626298,1103211.2408277774,1120358.9402476589,1123158.9450704267,1092729.3564869731,1091935.5891562894,1106138.8206983923,1108313.4961988388,1103157.5164386127,1099047.3417956205,1104345.3903918792,1072706.7141195838,1112330.4980603342,1078637.9355893147,1110056.2222226535,1098189.298066346
2025-06-01,1114800.056699422,1118413.5758073167,1098100.804496874,1110039.3393874096,1098884.7288084554,1077157.3389953654,1109007.0547470525,1103755.4078670815,1056456.436514287,1107639.792016644,1092375.2155902246,1108127.7648653134,1127694.773768561,1109543.3592488216,1098858.7734064516,1111567.0283521833,1116051.5981880566,1096710.2962697549,1091264.2130342703,1088043.440289029,1120723.4948433887,1088900.509620855,1147622.3854700176,1122345.8107531862,1128140.749263239,1113802.4919939365,1102789.3652250804,1073767.1801007022,1108683.954034218,1107547.6738061316,1107623.6024658228,1127574.5415435215,1103797.92073073,1083253.6353308908,1077490.534503396,1105044.0629371023,1103332.9099689545,1074706.5706374275,1120677.1461130686,1099688.4874059758,1151574.232082969,1103858.3070009702,1152319.677026105,1130859.3311280552,1099190.2232172173,1074927.7113499956,1092233.791746868,1082499.3442210045,1122935.217868253,1147966.2303446976,1140428.0473801633,1125745.3696955568,1085114.4041891035,1109661.3850876568,1128754.8088518458,1084625.5313820003,1110350.1356516986,1094266.6353316626,1090566.4876624625,1095913.5579894944,1127896.6802129536,1100662.0936940904,1167998.4831560494,1102969.9045528097,1114467.2567410367,1075756.6597126718,1134173.7668133513,1067096.3382301424,1105862.5549483115,1120075.4004975045,1107204.3140912303,1089357.4569633638,1103105.1050163289,1129932.8551543055,1079821.5515333137,1141227.0173480308,1086766.4193287275,1083279.7356936675,1154932.7373757248,1138514.9887960698,1105373.4473763073,1074722.6063882066,1116787.8791554163,1104179.0666823066,1103244.6296980116,1097327.0010396976,1141383.6095060862,1151606.4750866804,1093468.961296299,1097217.3125464371,1112493.9592079371,1106263.7097860528,1106546.8713113694,1090819.0433921155,1111237.429632335,1060106.4088559963,1126717.2055801144,1066617.2775510144,1117672.2565101667,1100627.4101576163
2025-07-01,1100274.116661748,1115158.1341250103,1110211.1560630894,1115666.398490103,1097520.4346006038,1061793.9612428884,1118261.6659545796,1104547.1146272582,1032974.3550504564,1113049.1624168102,1076813.2361692595,1114962.295798103,1122700.8798510307,1102916.467606745,1104231.9950153595,1110222.0721080382,1134908.884410547,1081961.0602334177,1091112.023053027,1087781.974028063,1137530.7047339513,1080009.4188692248,1150805.5093190745,1121097.7907340059,1128173.241124714,1109074.924582218,1105438.9204200797,1070251.0691830046,1083554.018814483,1103478.0202282523,1104921.4748837305,1136457.064044004,1112013.1301049758,1072952.038448512,1075993.8793759241,1099551.8603868973,1114637.0581467624,1062976.8795667586,1104004.3754949581,1109131.2000725507,1169455.0222258386,1098867.7987309124,1156062.000543802,1139077.2390236012,1086502.2411819918,1079476.6904340554,1087534.8135877487,1068276.7612524822,1138217.8085794782,1149217.73538187,1147350.0783264004,1126831.8805098261,1083518.774925282,1102315.264468429,1154511.634653825,1092263.3088435694,1105617.66649314,1086079.1313203922,1076701.224188857,1098905.1318767662,1143263.875519985,1088666.2388499258,1181462.687029389,1109674.7813666596,1114627.1590609057,1076008.8714746132,1158627.1417582976,1062962.1816804148,1097207.3151664534,1121802.2715302329,1101988.4801761638,1085181.7912730067,1100331.98823275,1128016.401015674,1071728.128172679,1145807.4339238312,1074420.7137936105,1082781.2456359426,1172716.2385590828,1140760.888738446,1101259.174092248,1048573.513483129,1111606.8301738962,1120911.663708501,1103371.7726341607,1105953.2662944638,1155268.801657738,1179083.1149012488,1094834.8372929092,1108499.9360514819,1127106.6221244545,1096482.092139901,1107959.748838424,1082828.9626206106,1105385.6663410545,1062767.8831970394,1138540.6153422121,1070637.7071948592,1140729.5251858511,1101825.5097073826
2025-08-01,1102478.4866134338,1098196.4114009796,1120478.8101067003,1135880.8420563145,1088904.1201650328,1068982.4571980545,1129198.1223271752,1113456.2915555215,1016122.4111497132,1107703.2410854702,1060042.0722921004,1116781.4756434537,1125154.3370459934,1103748.7453641202,1116103.4354121017,1108305.8563025347,1145677.2398034541,1071904.5343143158,1088660.71180149,1101321.6240645677,1163941.6718692153,1077704.9109745736,1157239.421256446,1121970.267889784,1129884.6633668304,1103336.7274499962,1110392.00750697,1084649.7699702433,1065772.1316186194,1103383.3800336742,1088760.2227898943,1148570.408154742,1116140.6619783742,1073984.3144767524,1077697.8782887638,1086427.34608798,1128428.0119655207,1039007.7192049328,1100352.5857036347,1120335.1743044502,1178080.3791461051,1095509.0654853922,1159973.715772874,1150445.3973949542,1060692.6438651707,1068917.9288011375,1096619.853333335,1052567.7700164265,1152223.8688416127,1154407.9330615574,1152302.8031758165,1128802.743455774,1076614.2210833146,1101518.1138088738,1179734.3568200485,1094801.8473155359,1109178.3106907625,1090233.2172687303,1091396.9458629063,1092172.5920648903,1151470.0771577654,1100528.2941105159,1180525.583420901,1105722.030072665,1104342.8583034917,1075506.6267498217,1172725.40256925,1055394.9519389505,1099190.4282711532,1123847.529228074,1092271.7196241762,1080947.1936096179,1102423.8523253866,1128042.4624689932,1077388.7908039726,1159970.2265658495,1061407.1747930972,1087363.8607362937,1190353.5698729255,1155269.113797894,1105102.8938764522,1029667.268839829,1101064.7266660344,1120445.269316484,1117090.6414166018,1103170.9717372875,1155834.0820701572,1201285.9314879917,1095610.01389824,1113583.72220453,1150341.1138002456,1105266.5738011347,1124747.4267118098,1083950.5747283867,1097370.223174098,1073539.5511638834,1145482.058896798,1090242.5684515268,1137611.916387289,1118337.3823871703
2025-09-01,1103896.493873449,1096982.1456645352,1129337.0689327836,1148072.3697586993,1099062.1387518127,1082768.3784670122,1141023.7053485012,1123217.2418423037,1008430.3305997872,1109925.8128243966,1057456.0217562336,1111984.8501383055,1139117.8291450962,1111735.317503862,1131158.6827650615,1106940.4300232804,1169185.497687062,1077164.2235262084,1090454.4053134671,1118247.7050460475,1183358.7305245318,1085911.232576623,1172204.3398880074,1123040.6087256358,1133529.4013446833,1114391.3346359397,1100210.951211415,1093371.1948930423,1059099.5969050515,1120757.7273547142,1092871.3860840264,1145684.6880884508,1123241.4555304104,1075585.0687395695,1079509.9301803478,1081796.750129296,1157125.0687568516,1020731.2236601159,1089774.5190478708,1117220.9751848255,1181818.0547768811,1097689.351178721,1161422.736701923,1159800.5942056642,1064504.9341428084,1064355.9959766916,1097872.9989661553,1055078.1891431015,1170364.2188287766,1157523.176612644,1159366.0623010707,1133322.2824808275,1063982.1199834177,1087570.9754634388,1208557.9871847413,1095402.3842986415,1121747.6287613162,1095713.5948738235,1124722.9746120581,1100956.74692265,1157799.9790538948,1109747.2384694605,1166701.0549332777,1126424.6666510734,1100521.7024301316,1077783.6597134718,1185528.3207264445,1058227.0963161858,1103620.997270041,1126527.3617885045,1090312.737796887,1090165.547981261,1102782.390443197,1120695.5708854697,1084022.6348097879,1158137.7102655896,1066469.07220144,1089218.3639233983,1199079.1543370357,1175205.51294554,1104503.3464438214,1013734.5065838494,1105871.18350766,1122298.7367509597,1124058.368647218,1109334.8038559633,1156337.1233329815,1205436.5873030466,1089565.761667977,1115901.7253304713,1182076.0274702823,1104701.673983244,1140670.0817386585,1080676.1151987286,1082386.661452283,1098757.3935101223,1148321.9364803273,1103080.073044584,1140295.013035445,1142017.8804395327
2025-10-01,1097414.7073522399,1093733.2873860092,1144880.9105592726,1148299.7309946874,1089728.6298426643,1093562.7718266044,1146283.373973202,1125068.6215484343,997003.560496098,1118492.8899308192,1042337.6098279231,1104828.426363438,1146165.0607493909,1131008.0264206473,1139251.8952066593,1099735.4130552271,1172529.8826252676,1078971.5046778657,1082713.269365026,1131595.5812419383,1190469.549061313,1076240.3677072774,1183151.7671011498,1127518.8480126373,1147971.628334809,1120092.7478758101,1085171.716821262,1112899.772704185,1053801.6445405863,1138906.84149124,1097933.7894652258,1144036.6355734768,1128303.1840724645,1076282.0934513896,1080649.3760543827,1087995.0687099318,1186643.8130367813,1008057.9331269005,1094015.8227175158,1110756.0373646219,1181907.7745245332,1108212.6226099767,1149425.2171898042,1158013.1559356295,1074057.0893062837,1052077.7864931847,1083827.8223015235,1051005.0250809358,1190435.4100571477,1159643.576655985,1166047.017905517,1117023.3786565363,1050251.2040084966,1076920.5122072175,1217624.4260364543,1087696.250192685,1123767.1006639604,1094698.18079984,1155399.168769074,1110652.9723349705,1161998.734731055,1101833.6590635695,1160739.1730919478,1146485.9450487967,1098247.4601333898,1086897.5664349068,1180966.917274232,1069047.3104522182,1114795.0383749984,1129054.0524158017,1077435.2269591372,1090214.5681189222,1119130.9534366473,1122204.8054660866,1064159.6030515884,1162594.9619516954,1072914.0558405588,1092896.575422569,1200971.4030801752,1174590.9227826574,1097406.392000364,1005382.7565473212,1112835.4970839745,1110050.441076474,1120243.1734657953,1108039.2994754948,1147687.284121316,1203373.7499413565,1069654.8995265213,1112008.2318308651,1212075.7675547195,1106131.0588258698,1149494.2163401425,1088711.887518574,1063218.0187665862,1114075.7707381833,1129963.1554003945,1098062.9239881448,1156669.1448519062,1155908.2205549034
2025-11-01,1089658.7437628242,1096221.9982935276,1148819.839735498,1142540.9927074148,1080109.9068090601,1095254.969241551,1146806.7099936607,1115752.4487286317,994235.6970521641,1131618.6194205226,1021803.9102242814,1101701.4684973506,1134705.6817908455,1148896.7777459624,1137410.4287396518,1107347.5320261659,1172536.1040257155,1083629.9340662593,1068422.5756304108,1115395.0962390983,1191150.9832226147,1080096.1156882052,1198467.0966281819,1134571.2617669082,1165355.6710692223,1133459.7580735176,1084452.8080934999,1119362.9535876361,1050678.6105588966,1157013.5728127013,1089181.9328661012,1124493.7073542739,1133603.9172185753,1084448.9975378166,1084970.203852642,1092059.2981667882,1202753.6016034507,991798.3586563035,1080960.7132647228,1102819.4436183204,1169482.9042937357,1107269.869272847,1128696.5902949122,1148197.7634465962,1091946.920856115,1043701.00975573,1079013.1896834082,1076756.308338314,1194416.3482702547,1170900.287273565,1169198.1837017946,1108731.89007901,1045862.0856337111,1084395.6877530608,1224402.2097836263,1079911.5927517144,1112679.9198557932,1075733.941780347,1159373.7177236693,1113885.1211481306,1140641.1395792812,1110142.040165032,1136708.5288606572,1161842.4015367255,1080593.7483900117,1087088.683490498,1173614.2244208877,1076684.5266016019,1112932.0142777716,1129824.707103983,1058438.2085510886,1075586.3743623837,1118611.9511386214,1107114.0242146528,1057444.1835472006,1163340.7235048006,1070424.7807854058,1089031.1899307491,1205012.1158299095,1176794.8245922143,1095645.2062071124,1002591.8077477383,1107488.190526123,1102837.266842717,1120637.0460746933,1089873.6591046993,1145156.3519273386,1211997.4203751443,1056012.5994895385,1119421.629984058,1245842.3946336166,1111345.3769391223,1140448.8997304381,1083541.4619862598,1044578.2061821185,1127631.5336615006,1121209.2176839733,1083674.1299989307,1173665.199416886,1155768.319161426
2025-12-01,1081347.8848411753,1099512.4428719843,1141793.3283743118,1129102.3820366315,1068844.5630675512,1085388.7012393798,1150992.2859391149,1125201.8677012923,996438.109824836,1134885.7936786956,1007433.0951950983,1105045.5983013823,1133231.151261293,1164179.2206771716,1138935.760004473,1113078.426010873,1164861.084078299,1081489.5793405168,1077533.5947250908,1106567.8361733432,1186625.386689665,1085230.9137768121,1219683.6722654244,1147428.7510866593,1173271.7243213684,1138920.7606598737,1080836.5284230025,1110256.7991881184,1042235.2177517727,1176614.4828600714,1086094.705837094,1102754.7797685303,1126427.9789520463,1091053.3296324336,1084929.687564389,1085274.908767536,1206696.8442326093,975989.1467476811,1072251.1130009056,1100190.0340644135,1170426.1898375698,1097754.1310091468,1103990.283444184,1142266.287496241,1101937.9974055502,1036209.5946197597,1073202.5358319834,1091277.9148783947,1202918.8880493995,1170541.1345031955,1175582.2920441842,1102446.9495009463,1042611.1083579211,1083514.278976496,1241991.3290875917,1068887.5351219247,1095925.5749696034,1059628.974794037,1148463.0800723461,1115570.0714128201,1125621.146208717,1122664.325493485,1125557.7719369403,1170906.7379861018,1053644.1392197832,1091490.8715262276,1175952.2684931073,1082343.455871604,1118022.8918339228,1123042.9113919726,1053713.1086606376,1052545.082494104,1126127.4856231483,1098613.7522666948,1059480.7253541474,1167035.7659407342,1079507.2452985137,1075180.6967659914,1205292.6707622078,1176816.6804667243,1087015.1810482917,1003058.8276546602,1099382.3097012748,1094466.9182397625,1110575.4035506446,1075744.2752545353,1132589.9202548792,1219737.2574032068,1036871.077226694,1114963.7145893022,1270286.5349913952,1103820.6730635804,1134875.6036562524,1081780.59789418,1027632.733344885,1138498.7319582151,1099276.5876811305,1083243.6660460376,1176793.760216057,1161475.2667718227
2026-01-01,1097856.3052292478,1095981.8589427741,1156485.6895608637,1127211.9922138234,1062060.2920142424,1083801.6494227448,1171240.04178903,1140286.6726508178,1004377.2718722227,1147240.8636996725,998896.5147748792,1108673.48981491,1139021.4635160402,1184194.9379167038,1144164.323990534,1115727.6839138633,1172945.8019802254,1071138.87053875,1091357.2588011704,1112162.9247494417,1182757.7594950243,1084577.2924326772,1263874.2633534784,1167569.0166847303,1182141.840715904,1143818.4929457053,1083477.8336999165,1101424.049077482,1043005.7891607739,1209651.1987176724,1083644.0838471602,1091182.8060707732,1133314.0025322489,1117609.9500155903,1094569.5658866824,1075427.5602320768,1220102.6518908485,984469.5864861117,1084457.1163339096,1121795.2273901491,1169802.0179587386,1093191.269616901,1101305.7612109927,1145988.4785014403,1112835.439607612,1026484.7560819736,1076450.8210619334,1112361.5936598214,1196596.2008179934,1179269.935849549,1185601.3896594488,1111768.728499063,1053167.638062409,1096629.4161522307,1262703.7939379474,1080949.2560993093,1105099.7335182899,1062478.7653674188,1133846.0668676547,1123500.8095200334,1119599.9297451153,1119043.7092751218,1133246.981884793,1180749.2215721498,1043726.7991356063,1096671.3032299622,1180726.2779428626,1081101.945038838,1125440.2050804843,1129864.7519467897,1057491.555159114,1036954.9411526505,1126526.1192196535,1098997.7042954478,1076653.629680732,1185621.763782639,1097157.959423802,1070439.3487032396,1220397.4800080988,1200507.854747005,1089742.947321632,1011900.8342499867,1112671.9658829195,1107401.10674361,1108685.5406449859,1081101.5409054088,1136165.6356961152,1231322.7436242125,1027785.8501723678,1113635.590365221,1280334.1091175291,1113533.7454066703,1151131.6567880264,1081760.939353138,1023368.0691493701,1156137.7372368255,1086973.0029639804,1090749.802895584,1187447.1492065806,1173301.0690436577
