,Bear_10th,Base_50th,Bull_90th,Absolute_Max,Absolute_Min
2025-04-01,1099945.2081788685,1108680.927070522,1117432.2082053495,1123866.9749562459,1091246.9292377993
2025-05-01,1083921.2632416058,1104440.5309126815,1121190.807765506,1141338.4039165552,1072706.7141195838
2025-06-01,1077457.214952593,1105618.0011623094,1138706.294654479,1167998.4831560494,1056456.436514287
2025-07-01,1072829.6474209288,1104734.2947554942,1147536.8440319474,1181462.687029389,1032974.3550504564
2025-08-01,1068976.0043583629,1104045.801833806,1155974.615988786,1201285.9314879917,1016122.4111497132
2025-09-01,1066272.658395577,1109836.5256469287,1169303.3698012335,1208557.9871847413,1008430.3305997872
2025-10-01,1068558.5397121552,1112867.6348940798,1175228.522231815,1217624.4260364543,997003.560496098
2025-11-01,1058338.8060507,1112012.6483974578,1173619.3219204876,1245842.3946336166,991798.3586563035
2025-12-01,1053534.2335472153,1103905.4782538824,1176632.4105956699,1270286.5349913952,975989.1467476811
2026-01-01,1052223.5541697287,1112516.7797713703,1185804.3023250331,1280334.1091175291,984469.5864861117
2026-02-01,1064690.5129753014,1120919.2723243895,1195497.5701415443,1312093.3793292472,996806.5653281623
2026-03-01,1060042.2402559097,1121401.8380451698,1205138.1278310919,1360298.875266977,991635.1018609478
2026-04-01,1066702.5989402432,1128309.1568359155,1221475.0354891005,1400091.0179573137,988270.8808230255
2026-05-01,1065864.8440809003,1139917.9281474794,1229433.1383230132,1427549.7376238748,994103.92703936
2026-06-01,1057244.1391436316,1148530.7600412657,1230202.3675065776,1455785.4158703634,981983.4051074701
2026-07-01,1056001.7775955868,1153984.1786214057,1232584.0572239938,1488422.0002949466,974107.8925098296
2026-08-01,1055304.0098980889,1151941.6354463692,1240859.8795650413,1508867.588366894,967957.0547435902
2026-09-01,1050457.6958509062,1159239.1372915185,1256165.525451048,1523015.9912610897,972676.2490616544
2026-10-01,1042612.3556199006,1164604.111423409,1260674.7440613757,1523492.6906377599,972392.1038452411
2026-11-01,1045204.5442597051,1163797.7010387313,1264513.338051936,1516680.817851251,960197.2546424319
2026-12-01,1045349.6670441594,1163993.3193693666,1262768.2105556142,1529083.6368375802,946565.214189589
2027-01-01,1045761.7433728379,1173136.28799409,1277502.5779570348,1565161.8967324437,950845.9842330663
2027-02-01,1051971.049451487,1185528.3542660396,1301637.6372551294,1617486.310978387,952955.9865324093
2027-03-01,1048942.5947450823,1207110.4463166303,1311996.3532008503,1665755.5709119213,945455.8449272217
2027-04-01,1053026.3147035758,1209872.5483973203,1324845.9466706626,1713403.8165892547,924912.3069874732
2027-05-01,1061856.4501160663,1216294.7945823893,1333762.3743484747,1758337.8670152782,911073.501399828
2027-06-01,1071688.5600547383,1210987.1216464185,1346421.876901159,1781826.896585916,898396.1778503743
2027-07-01,1065433.7510039837,1206995.6315979,1350428.2856386567,1797162.9356863948,880100.6688358283
2027-08-01,1066028.8055944873,1212532.7763344643,1358094.209950192,1814336.7059505817,876859.1415365379
2027-09-01,1063197.8709946205,1231903.5453058267,1368157.5593841176,1841901.5320127937,880810.5326195892
2027-10-01,1079246.998225233,1239403.1277560447,1380874.0041187964,1874508.8104711622,876187.3472051892
2027-11-01,1080617.514376915,1242438.6740159728,1398045.5106352228,1876536.9075503221,873067.924558534
2027-12-01,1084549.2991059688,1237666.869323082,1401343.653236857,1863418.5716406265,864485.8545473873
2028-01-01,1087511.2501554603,1244834.3197457446,1413743.625450109,1879568.414570321,867872.7454740447
2028-02-01,1092054.3982275382,1262171.530084433,1435521.5983729814,1904926.2738237658,876329.9580739888
2028-03-01,1096866.3543401565,1277778.2005912564,1452613.2343902255,1915416.4821025191,889814.9314754911
2028-04-01,1097448.0912066991,1279416.0451133733,1481666.1867012035,1939773.813139945,910575.3609401792
2028-05-01,1104240.8921222566,1281780.237182569,1492462.7703013083,1962017.8724939537,927777.6090309388
2028-06-01,1105646.3685599742,1284067.5606441111,1510577.6265848805,1975433.4623437803,939099.7489038209
2028-07-01,1108189.7116303262,1292832.035002099,1523673.7846094568,1955042.3321225604,939802.574784718
2028-08-01,1117573.1816257671,1292846.0725977384,1522898.3521464404,1937666.3954054595,944418.8707417069
2028-09-01,1116720.0068244305,1301673.4297928517,1541147.695300148,1949714.612781402,945837.586045271
2028-10-01,1118065.0152223979,1301188.1157100657,1550488.7717578202,1953861.3877400944,959913.5445034988
2028-11-01,1114024.1510148502,1296798.2386524556,1557743.8986245813,1991607.8518569232,964372.2216739597
2028-12-01,1118043.970815948,1294098.2454056812,1568834.7289460953,2006519.3058382375,957995.8310435109
2029-01-01,1118068.7279957095,1308284.6664705866,1575000.098846975,2015820.0530121778,945617.4313646556
2029-02-01,1121730.2503111188,1315073.5373669914,1597704.9809644138,2038816.420756723,942313.3971974761
2029-03-01,1122917.8118922352,1323305.2391176368,1615682.3895252226,2051975.176768288,937156.5812477067
2029-04-01,1122941.3027483975,1340201.5447810309,1644797.0089050324,2049691.099425755,929440.7774254415
2029-05-01,1123805.6886902472,1354342.6738216905,1659113.6050036405,2041537.5522582652,926690.6983423784
2029-06-01,1127527.809368901,1360641.9887137432,1635211.3978443341,2018206.3104164454,928716.7424952146
2029-07-01,1127811.4031939153,1360383.3601939227,1636929.7547126543,1973883.0916644027,935852.888674508
2029-08-01,1131810.218634179,1367025.8071470573,1630411.9154475005,1950646.3233095047,937988.5255553988
2029-09-01,1144916.8473967689,1363614.1287884524,1641881.2545715217,1921654.9905995517,944539.3964779086
2029-10-01,1151873.868435533,1379125.6517545416,1655103.0465633112,1929232.6247793667,946060.7849371926
2029-11-01,1146252.927248724,1379731.0000445873,1657334.0180918586,1992575.0740628117,957052.4465991626
2029-12-01,1149393.9916862254,1382893.479968841,1682712.0150565202,2038372.5988997295,956574.9768211655
2030-01-01,1156540.4346391617,1395110.009518059,1687996.0771497262,2069848.1554092746,953982.9674284633
2030-02-01,1167856.8572517443,1405478.588537048,1688689.7338987046,2078197.6348552802,958790.3867205295
